""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2013-01"	0.036302	230
"2013-02"	0.036302	219
"2013-03"	0.036302	206
"2013-04"	0.036302	202
"2013-05"	0.036302	190
"2013-06"	0.036302	183
"2013-07"	0.036302	188
"2013-08"	0.036302	194
"2013-09"	0.036302	185
"2013-10"	0.036302	178
"2013-11"	0.036302	174
"2013-12"	0.036302	177
"2014-01"	0.031183	182
"2014-02"	0.031183	180
"2014-03"	0.031183	172
"2014-04"	0.031183	161
"2014-05"	0.031183	157
"2014-06"	0.031183	157
"2014-07"	0.031183	149
"2014-08"	0.031183	146
"2014-09"	0.031183	172
"2014-10"	0.031183	173
"2014-11"	0.031183	178
"2014-12"	0.031183	171
"2015-01"	0.034383	183
"2015-02"	0.034383	178
"2015-03"	0.034383	176
"2015-04"	0.034383	177
"2015-05"	0.034383	187
"2015-06"	0.034383	197
"2015-07"	0.034383	192
"2015-08"	0.034383	198
"2015-09"	0.034383	185
"2015-10"	0.034383	186
"2015-11"	0.034383	172
"2015-12"	0.034383	172
"2016-01"	0.033415	172
"2016-02"	0.033415	184
"2016-03"	0.033415	177
"2016-04"	0.033415	178
"2016-05"	0.033415	179
"2016-06"	0.033415	173
"2016-07"	0.033415	173
"2016-08"	0.033415	191
"2016-09"	0.033415	187
"2016-10"	0.033415	174
"2016-11"	0.033415	179
"2016-12"	0.033415	174
"2017-01"	0.037239	180
"2017-02"	0.037239	183
"2017-03"	0.037239	202
"2017-04"	0.037239	213
"2017-05"	0.037239	203
"2017-06"	0.037239	191
"2017-07"	0.037239	196
"2017-08"	0.037239	210
"2017-09"	0.037239	215
"2017-10"	0.037239	203
"2017-11"	0.037239	197
"2017-12"	0.037239	193
"2018-01"	0.036692	214
"2018-02"	0.036692	214
"2018-03"	0.036692	219
"2018-04"	0.036692	211
"2018-05"	0.036692	189
"2018-06"	0.036692	184
"2018-07"	0.036692	187
"2018-08"	0.036692	185
"2018-09"	0.036692	191
"2018-10"	0.036692	193
"2018-11"	0.036692	189
"2018-12"	0.036692	175
"2019-01"	0.028686	184
"2019-02"	0.028686	178
"2019-03"	0.028686	171
"2019-04"	0.028686	156
"2019-05"	0.028686	138
"2019-06"	0.028686	142
"2019-07"	0.028686	147
"2019-08"	0.028686	155
"2019-09"	0.028686	145
"2019-10"	0.028686	141
"2019-11"	0.028686	143
"2019-12"	0.028686	138
"2020-01"	0.038440	154
"2020-02"	0.038440	150
"2020-03"	0.038440	182
"2020-04"	0.038440	205
"2020-05"	0.038440	224
"2020-06"	0.038440	225
"2020-07"	0.038440	221
"2020-08"	0.038440	224
"2020-09"	0.038440	221
"2020-10"	0.038440	216
"2020-11"	0.038440	220
"2020-12"	0.038440	221
"2021-01"	0.044043	244
"2021-02"	0.044043	251
"2021-03"	0.044043	256
"2021-04"	0.044043	235
"2021-05"	0.044043	235
"2021-06"	0.044043	236
"2021-07"	0.044043	223
"2021-08"	0.044043	239
"2021-09"	0.044043	232
"2021-10"	0.044043	223
"2021-11"	0.044043	225
"2021-12"	0.044043	223
"2022-01"	0.034539	217
"2022-02"	0.034539	219
"2022-03"	0.034539	209
"2022-04"	0.034539	204
"2022-05"	0.034539	197
"2022-06"	0.034539	176
"2022-07"	0.034539	177
"2022-08"	0.034539	182
"2022-09"	0.034539	171
"2022-10"	0.034539	155
"2022-11"	0.034539	159
"2022-12"	0.034539	147

