""	"Zuwanderung Erwerbstätige (rechte Skala)"	"Bestand Grenzgänger Nahrungs- u. Genussmittel, Getränke und Tabakerz."	"Bestand Meldepflichtige in VZÄ Industrie, Herstellung von Waren"
"2015-01"	6	1142	132
"2015-02"	5	1141	80
"2015-03"	3	1130	305
"2015-04"	1	1137	60
"2016-01"	2	1161	72
"2016-02"	10	1169	62
"2016-03"	3	1176	271
"2016-04"	2	1188	41
"2017-01"	3	1204	55
"2017-02"	7	1200	69
"2017-03"	3	1210	269
"2017-04"	6	1218	53
"2018-01"	1	1185	59
"2018-02"	3	1167	66
"2018-03"	1	1153	262
"2018-04"	5	1155	43
"2019-01"	2	1143	52
"2019-02"	4	1141	80
"2019-03"	8	1136	290
"2019-04"	5	1163	84
"2020-01"	2	1194	54
"2020-02"	2	1196	44
"2020-03"	4	1185	105
"2020-04"	3	1172	60
"2021-01"	4	1136	29
"2021-02"	3	1140	33
"2021-03"	6	1131	107
"2021-04"	4	1131	75
"2022-01"	9	1128	34
"2022-02"	5	1122	38
"2022-03"	6	1091	157
"2022-04"	9	1079	56
"2023-01"	17	1002	26
"2023-02"	17	972	50
"2023-03"	6	957	173
"2023-04"	8	948	54
"2024-01"	9	938	45
"2024-02"	7	928	65
"2024-03"	8	934	151
"2024-04"	5	928	51

