Jahr	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
2019: Total	796	820	136	16	148	92
2019: Schweiz	616	637	95	13	114	77
2019: Ausland	175	171	40	3	31	13
.						
2015: Total	650	693	69	6	77	0
2015: Schweiz	591	596	58	6	73	0
2015: Ausland	59	97	11	0	4	0
..						
2011: Total	737	625	93	9	43	2
2011: Schweiz	635	536	78	7	37	2
2011: Ausland	102	89	15	2	6	0
...						
2007: Total	493	808	126	10	62	0
2007: Schweiz	444	711	105	8	55	0
2007: Ausland	49	97	21	2	7	0
....						
2005: Total	518	781	120	24	61	0
2005: Schweiz	455	670	102	17	51	0
2005: Ausland	63	111	18	7	10	0
.....						
2003: Total	587	690	116	15	80	0
2003: Schweiz	507	597	102	13	65	0
2003: Ausland	80	93	14	2	15	0

