JahrBezirk	Evangelisch-reformiert	Römisch-katholisch	Christkatholisch	Israelitisch	Andere, ohne oder unbek. Zugeh.
2010: Klybeck	743	931	19	1	5455
2010: Kleinhüningen	272	354	3		1995
.					
2011: Klybeck	700	915	35	2	5602
2011: Kleinhüningen	257	351	7		2084
..					
2012: Klybeck	677	894	49	2	5646
2012: Kleinhüningen	264	370	11		2232
...					
2013: Klybeck	629	888	30	2	5745
2013: Kleinhüningen	268	352	11		2247
....					
2014: Klybeck	616	862	31	3	5836
2014: Kleinhüningen	243	334	10		2289
.....					
2015: Klybeck	599	828	30	5	5819
2015: Kleinhüningen	245	335	4		2316
......					
2016: Klybeck	552	781	32	3	5834
2016: Kleinhüningen	243	319	4		2327
.......					
2017: Klybeck	538	767	30	2	5918
2017: Kleinhüningen	224	302	5		2313
........					
2018: Klybeck	538	755	23	8	5969
2018: Kleinhüningen	227	299	7		2325
.........					
2019: Klybeck	506	724	25	5	5977
2019: Kleinhüningen	201	294	12		2291
