"Jahr"	"Schweiz"	"Deutschland"	"Italien"	"Türkei"	"EU-17 + EFTA"	"EU-Ost"	"Balkan"	"Mittel- und Südamerika"	"Arabische Länder"	"Afrikanische Länder"	"Übrige Länder"	"Staat unbekannt"
"2001"	4840	111	502	1196	380	62	729	155	124	129	247	398
"2002"	5015	120	464	1210	377	66	810	201	147	139	262	433
"2003"	5669	168	535	1417	504	70	1040	227	174	190	310	318
"2004"	6463	220	635	1761	545	103	1241	285	193	221	402	153
"2005"	6834	239	681	1923	555	114	1440	299	219	267	445	85
"2006"	6806	237	659	1942	553	112	1436	330	250	266	456	40
"2007"	6394	207	563	1720	475	107	1276	324	286	274	434	21
"2008"	5970	247	510	1539	455	95	1214	303	304	276	476	22
"2009"	5778	293	463	1450	487	113	1197	290	308	317	476	12
"2010"	5561	324	419	1401	462	142	1105	276	374	450	505	14
"2011"	5698	338	453	1417	512	158	1059	300	502	687	639	26
"2012"	5737	349	468	1390	536	188	1078	301	524	795	696	33
"2013"	5748	346	469	1413	601	213	1028	304	571	888	737	32
"2014"	5699	343	450	1323	619	232	929	307	708	871	784	27
"2015"	5542	369	498	1306	658	298	943	299	821	883	744	43
"2016"	5778	390	496	1327	672	326	942	310	888	925	779	33
"."	""	""	""	""	""	""	""	""	""	""	""	""
"2017"	6163	466	515	1322	695	368	988	284	960	953	853	32
"2018"	6023	451	490	1241	688	364	969	293	964	987	888	31

