"Schuljahr"	"Klybeck: Schweiz"	"Klybeck: Ausland"	"Klybeck: Total"	"Kleinhüningen: Schweiz"	"Kleinhüningen: Ausland"	"Kleinhüningen: Total"	"Stadt Basel: Schweiz"	"Stadt Basel: Ausland"	"Stadt Basel: Total"
2010	36.54	13.85	23.93	17.14	25.00	20.00	47.59	21.85	39.47
2011	37.93	11.43	23.93	8.82	10.00	9.26	47.67	20.05	38.79
2012	28.07	12.50	19.83	3.57	9.52	6.12	46.11	18.23	37.05
2013	28.57	15.38	21.88	13.33	16.67	14.58	44.99	18.57	36.24
2014	23.64	14.29	18.40	17.14	16.67	17.02	45.07	21.62	37.12
2015	22.64	11.29	16.52	11.54	14.29	12.50	45.32	19.97	36.50
2016	18.00	10.61	13.49	23.33	20.00	22.22	49.57	22.51	40.53
2017	28.30	14.93	20.83	37.84	33.33	36.73	50.85	25.51	42.68
2018	20.31	12.50	16.41	33.33	19.05	27.08	47.57	22.64	39.31
2019	19.70	11.48	15.75	28.00	4.17	16.33	45.13	24.90	38.50
2020	23.88	15.87	20.00	34.48	9.68	21.67	44.93	23.08	37.61
2021	24.07	6.06	14.17	41.38	3.33	22.03	44.23	21.61	36.11
2022	17.86	6.06	11.48	33.33	4.00	19.23	42.68	22.82	35.72
2023	16.67	3.28	10.24	28.13	14.81	22.03	41.30	26.88	36.48
2024	21.82	8.00	13.85	26.67	16.00	21.82	42.12	26.83	36.73
2025	23.73	12.05	16.90	27.78	7.69	15.91	44.15	25.59	37.39

