"Jahr"	"Pharmaindustrie"	"Übriges verarbeit. Gewerbe"	"Bau, Energie, Wasser"	"Handel und Verkehr"	"Finanzen, Versicherung"	"Unternehmens-DL, Freiberufe"	"Öff. Verwaltung und Bildung"	"Gesundheits- und Sozialwesen"	"Übrige Branchen"
"2005"	12888	10729	9519	31923	11656	29016	17700	23549	24763
"."									
"2008"	14427	11057	8786	31557	12244	31953	17727	24400	26186
".."									
"2011"	16747	10370	8926	30017	12074	34473	17529	26410	27258
"2012"	17811	9943	9102	29717	11898	35062	18058	26973	28386
"2013"	17756	9082	9037	29282	11723	36382	18171	28048	29273
"2014"	18186	8723	9459	28809	11678	37247	18684	29009	29779
"2015"	18692	8719	9526	27297	11514	36690	18923	29558	29834
"2016"	18878	8608	9466	26353	11181	36959	19184	30636	29416
"2017"	18785	8359	9286	25988	10705	37896	18976	31449	29522

