	I. Quartal	II. Quartal	III. Quartal	 IV. Quartal
2009	612000	619000	617000	687000
2010	656000	699000	745000	877000
2011	801000	899000	1059000	1151000
2012	1104000	1178000	1120000	1340000
2013	1067000	1157000	1082000	1294000
2014	1215000	1301000	1250000	1404000
2015	1540000	1578000	1488000	1674000
2016	1478000	1637882	1547144	1706918
2017	1543412	1651706	1521863	1575743
2018	1405743	1467186	1330408	1435671
2019	1358489	1432601	1368425	1457915
2020	755012	194091	769573	666178
2021	25419	386420	598871	648748
2022	563845	649010	653278	737971
2023	654139	722236	684188	764670
