"Jahr"	"Stark verkehrsexponiert"	"Stadt Basel"	"Agglomeration"	"Grenzwert"
1997		28.6	30	20
1998		24.3	24.1	20
1999		20.7	23.1	20
2000		20.8	20.5	20
2001		20.1	22.2	20
2002		21.8	23.1	20
2003	31.3	24.7	25.5	20
2004	29	19	21.2	20
2005	28.7	21.2	21.1	20
2006	29.5	23.7	23.5	20
2007	25.3	22.5	20.1	20
2008	23.7	20.7	18.2	20
2009	25.7	22	18.2	20
2010	25.5	21.4	17.9	20
2011	25	22.3	17.7	20
2012	22.6	19.1	15.2	20
2013	22.9	19.1	16	20
2014	18.8	16.9	13.1	20
2015	21.2	18.3	16.1	20
2016	18.7	16.1	12.9	20
2017	19.1	16.2	13.6	20
2018	20.3	17.8	14	20
2019	18	15.2	12.1	20
2020	17.2	15.1	12.1	20
2021	18.1	15.8	11.9	20
2022	18.8	17	14.3	20
2023	16.8	13.8	11.5	20
2024	15.8	12.5	11	20
