"Jahr"	"Mittelwert"	"90% aller Messstellen (5 - 95% Quantil) (low)"	"90% aller Messstellen (5 - 95% Quantil) (high)"	"Jahresmitteltemperatur der Luft"	"Category"
1994	13.8	11.73	16.77	11.67	0
1995	13.92	12.02	16.14	10.62	1
1996	13.69	12.03	16.26	9.36	2
1997	13.63	11.75	15.99	10.63	3
1998	13.61	11.63	16.18	10.59	4
1999	13.72	11.73	16.36	10.64	5
2000	13.8	11.86	16.31	11.44	6
2001	13.86	11.85	16.11	10.71	7
2002	13.86	11.94	16.12	11.21	8
2003	14.02	12.18	16.18	11.34	9
2004	14.16	12.26	16.22	10.56	10
2005	14.07	12.02	16.4	10.49	11
2006	13.93	11.95	16.49	10.93	12
2007	14.02	12.08	16.37	11.32	13
2008	13.98	12.02	16.34	10.75	14
2009	13.96	12.12	16.42	11.05	15
2010	14.29	12.05	16.7	10.15	16
2011	14.3	12.03	16.57	11.67	17
2012	14.54	12.54	16.72	10.84	18
2013	14.47	12.26	16.51	10.35	19
2014	14.59	12.5	17.48	11.92	20
2015	14.73	12.67	17.52	11.8	21
2016	14.72	12.68	16.98	11.04	22
2017	14.83	12.88	17.33	11.45	23
2018	14.93	13	17.1	12.26	24
2019	15.06	13.29	17.41	11.68	25
2020	15.09	13	17.42	12.22	26
2021	14.99	12.78	17.3	10.73	27
2022	14.94	12.68	17.3	12.63	28
2023	15.28	13.27	17.6	12.71	29
2024	15.29	13.02	17.5	12.28	30
