"Jahr"	"Benzin-elektrisch: Plug-in-Hybrid (PHEV)"	"Diesel-elektrisch: Plug-in-Hybrid (PHEV)"	"Elektrisch (EV)"	"Wasserstoff (FCEV)"	"Anteil BS (rechte Skala)"
2005	0	0	0	0	0
2006	0	0	0	0	0
2007	0	0	0	0	0
2008	1	0	0	0	0.01
2009	0	0	0	0	0
2010	0	0	1	0	0.01
2011	0	0	13	0	0.16
2012	1	0	15	0	0.19
2013	5	4	18	0	0.32
2014	19	1	28	0	0.59
2015	17	2	36	0	0.74
2016	28	1	45	10	1.13
2017	45	1	56	0	1.33
2018	43	0	83	0	1.62
2019	148	4	180	0	4.23
2020	572	3	299	0	17.02
2021	340	8	395	2	14.91
2022	373	6	485	3	23.2
