"Jahr"	"Deutschland"	"Italien"	"Türkei"	"EU-West + EFTA + UK"	"EU-Ost"	"Balkan"	"Mittel- und Südamerika"	"Arabische Länder"	"Afrikanische Länder"	"Übrige Länder"
"2013"	14.0	8.1	27.6	9.4	10.5	32.1	25.6	36.0	26.0	14.2
"2014"	15.6	11.7	16.2	7.9	10.3	26.6	27.0	30.2	19.4	14.4
"2015"	17.9	12.3	24.7	11.4	12.4	28.9	25.5	25.5	18.3	15.6
"2016"	11.6	7.1	13.5	6.9	9.5	16.2	19.2	30.4	14.8	11.9
"2017"	21.1	16.8	18.4	10.4	14.4	28.7	36.1	30.9	19.4	16.7
"2018"	18.9	8.2	19.5	9.1	11.7	22.1	31.9	31.7	9.7	17.7
"2019"	21.9	10.8	34.8	11.9	14.4	29.6	25.7	16.0	13.8	17.3
"2020"	26.6	7.5	18.1	8.1	12.9	19.4	18.4	11.6	9.6	14.1
"2021"	29.9	12.8	27.9	11.3	10.8	25.9	17.9	14.5	20.5	19.6
"2022"	28.4	13.0	24.2	10.3	14.3	28.0	14.9	23.0	23.0	15.4
"2023"	26.1	9.0	15.8	10.2	16.2	20.8	18.8	15.0	23.5	15.4

