Jahr	Bezüger Messe	Bezüger Erlenmatt	Sozialhilfequote Messe	Sozialhilfequote Erlenmatt	Sozialhilfequote Stadt Basel
2001	304	24	7.2157607406	18.604651163	5.3593215835
2002	337	31	7.7116704805	22.794117647	5.5612708382
2003	405	40	9.2066378722	27.027027027	6.3914411731
2004	451	37	10.100783875	27.611940299	7.3340214104
2005	545	19	12.186940966	13.103448276	7.9014981544
2006	572	18	12.505465676	12.162162162	7.9011078576
2007	561	20	12.142857143	12.903225806	7.2796403866
2008	514	27	10.906004668	15.882352941	6.8113986916
2009	476	22	10.170940171	5.5415617128	6.6439340834
2010	495	29	10.723570191	5.5133079848	6.5512736773
2011	511	23	11.24807396	3.795379538	6.9280223784
2012	510	23	10.981912145	3.68	7.0554401848
2013	568	18	11.942809083	2.88	7.1251370219
2014	556	15	11.757242546	2.4671052632	7.0527753233
2015	573	26	12.165605096	1.7771701982	7.0826980946
2016	664	25	13.827571845	1.4285714286	7.3096042951
2017	713	25	15.086754126	1.3319126265	7.420336505
2018	670	35	14.164904863	1.6587677725	7.2558349053
2019	643	29	13.514081547	1.0416666667	6.9843180489
