Jahr	Kinder unter 18	B-Bewilligung	C-Bewilligung	Übrige Ausländer	Beistand/Vormund oder Wochenaufenthalter 
1995	15.3	6.3	13.0	0.8	1.0
1996	15.4	6.2	13.1	1.2	0.6
1997	15.5	6.2	13.3	1.2	1.0
1998	15.5	6.2	13.5	1.2	0.9
1999	15.5	6.3	13.8	1.2	0.8
2000	15.2	6.1	14.5	1.0	1.6
2001	15.2	6.1	15.0	1.0	1.4
2002	15.2	6.6	15.2	1.2	1.5
2003	15.1	7.0	15.3	1.4	1.7
2004	14.9	7.3	15.3	1.6	2.0
2005	14.8	7.5	15.3	1.9	2.0
2006	14.7	7.6	15.3	2.5	1.9
2007	14.5	8.4	15.2	2.3	2.0
2008	14.4	9.1	15.1	2.3	2.1
2009	14.3	9.4	15.2	2.5	2.0
2010	14.4	10.0	15.5	1.8	1.8
2011	14.4	10.2	15.8	1.9	1.7
2012	14.4	10.2	15.9	1.9	1.7
2013	14.6	10.1	16.5	2.2	1.7
2014	14.6	10.3	16.7	2.2	1.7
2015	14.7	10.7	16.9	2.0	1.7
2016	14.8	10.8	16.9	2.0	1.7
2017	14.9	11.0	17.2	1.8	1.7
2018	15.1	11.0	17.5	1.9	1.8
2019	15.3	11.1	17.7	1.7	1.7
2020	15.3	11.4	17.6	1.8	1.7
2021	15.5	11.5	17.6	1.8	1.7
2022	15.6	11.8	17.4	2.2	1.7
2023	15.6	12.2	17.3	2.4	1.9
