"Jahr"	"Mitteltemperatur Heizperiode (Sep-Jun)"	"Gleitendes Mittel der Lufttemperatur (Heizperiode)"	"Heizgradtage (rechte Skala)"
1755			
1756	6.95		
1757	6.12		
1758	5.79		
1759	6.72		
1760	6.98		
1761	7.87		
1762	6.98		
1763	5.71		
1764	7.42		
1765	7.05		
1766	6		
1767	6.26		
1768	6.63		
1769	7.2		
1770	6.08		
1771	7.35	6.8993333333	
1772	7.48	6.918	
1773	7.56	6.9293333333	
1774	8.44	7.0233333333	
1775	7.01	6.9896666667	
1776	6.9	7.004	
1777	6.45	7.0073333333	
1778	7.19	7.0216666667	
1779	6.95	7.0643333333	
1780	7.84	7.0996666667	
1781	7.99	7.0766666667	
1782	6.91	7.133	
1783	7.1	7.158	
1784	6.51	7.2013333333	
1785	5.54	7.168	
1786	7.51	7.1833333333	
1787	6.46	7.193	
1788	8.61	7.186	
1789	5.71	7.1576666667	
1790	7.41	7.1243333333	
1791	7.97	7.0973333333	
1792	7.41	7.1	
1793	6.99	7.13	
1794	8.48	7.098	
1795	6.36	7.076	
1796	7.69	7.004	
1797	7.01	7.0156666667	
1798	7.93	7.0163333333	
1799	6.2	6.9773333333	
1800	6.54	6.944	
1801	7.64	7.007	
1802	7.27	6.9493333333	
1803	6.71	6.9543333333	
1804	7.44	6.9043333333	
1805	6.2	6.962	
1806	6.98	6.94	
1807	7.35	6.877	
1808	6.23	6.9356666667	
1809	6.29	6.9266666667	
1810	5.68	6.862	
1811	8.34	6.9126666667	
1812	6.93	6.8946666667	
1813	5.93	6.8956666667	
1814	5.51	6.901	
1815	7.43	6.9133333333	
1816	5.78	6.8693333333	
1817	6.61	6.8493333333	
1818	7.11	6.845	
1819	7.44	6.8583333333	
1820	6.75	6.889	
1821	6.08	6.935	
1822	9.17	6.9046666667	
1823	6.72	6.8596666667	
1824	6.54	6.8403333333	
1825	7.88	6.8496666667	
1826	7.15	6.9026666667	
1827	7.04	6.8313333333	
1828	8.09	6.8473333333	
1829	6.57	6.863	
1830	5.22	6.9206666667	
1831	7.04	6.86	
1832	7.14	6.9386666667	
1833	7.11	6.919	
1834	8.36	6.889	
1835	7.58	6.8723333333	
1836	6.07	6.8596666667	
1837	6	6.878	
1838	5.65	6.7723333333	
1839	6.57	6.7806666667	
1840	7.27	6.7686666667	
1841	6.2	6.7093333333	
1842	7.41	6.7003333333	
1843	6.4	6.6843333333	
1844	7.24	6.6416666667	
1845	5.61	6.6703333333	
1846	8.14	6.7146666667	
1847	6.02	6.702	
1848	6.21	6.7366666667	
1849	6.94	6.7673333333	
1850	6.37	6.717	
1851	6.63	6.698	
1852	6	6.7736666667	
1853	6.97	6.8416666667	
1854	6.18	6.9003333333	
1855	6.1	6.9466666667	
1856	6.88	6.9276666667	
1857	6.56	6.9206666667	
1858	6.81	6.8896666667	
1859	7.43	6.9413333333	
1860	6.55	6.9376666667	
1861	6.66	6.9853333333	
1862	8.18	6.935	
1863	8.03	7.007	
1864	6.85	7.0356666667	
1865	7.01	7.0193333333	
1866	8.34	6.9853333333	
1867	8.04	7.0146666667	
1868	7.41	7.0473333333	
1869	7.96	7.0626666667	
1870	6.7	7.1073333333	
1871	5.99	7.1396666667	
1872	6.48	7.1203333333	
1873	7.95	7.1203333333	
1874	7.13	7.08	
1875	7.04	7.0453333333	
1876	6.63	7.041	
1877	8.18	6.9903333333	
1878	7.07	6.9583333333	
1879	6.45	6.934	
1880	5.35	6.9496666667	
1881	7.51	6.906	
1882	6.98	6.881	
1883	7.43	6.8623333333	
1884	7.52	6.8446666667	
1885	7.07	6.8506666667	
1886	6.3	6.867	
1887	6.56	6.903	
1888	5.6	6.9246666667	
