Jahr	1-Zimmer	2-Zimmer	3-Zimmer	4-Zimmer	5+-Zimmer	LWQ alle Wohnungen (rechte Skala)	LWQ 1-Zimmer	LWQ 2-Zimmer	LWQ 3-Zimmer	LWQ 4-Zimmer	LWQ 5+-Zimmer
2006	199	365	546	275	86	1.405933402148	1.706396844452	1.46263273893	1.402193173938	1.574487575861	0.740996036532
2007	192	330	572	272	102	1.401539019686	1.650618982118	1.327380234101	1.467494484067	1.548974943052	0.870976005464
2008	156	255	533	265	85	1.235404752584	1.350649350649	1.029928510844	1.365161488615	1.503290220104	0.722604777692
2009	143	201	371	200	54	0.924635966335	1.24456048738	0.813600485731	0.948485235843	1.129624399887	0.45828736315
2010	124	158	317	148	36	0.745160737737	1.078917602018	0.639158576051	0.807931491487	0.829503418899	0.305421226775
2011	94	115	171	92	50	0.495886611061	0.820674000349	0.465210355987	0.435048084261	0.512734771219	0.422190323397
2012	119	102	159	86	34	0.472750652395	1.038394415357	0.409162020137	0.402939685757	0.476454293628	0.286557100716
2013	58	91	136	55	21	0.340820045127	0.506064043277	0.364568727214	0.344286365247	0.304052186411	0.176352032247
2014	25	51	93	48	28	0.228395637177	0.233950963877	0.205761316872	0.231816142379	0.254520388143	0.218391701115
2015	52	84	107	79	39	0.336533979677	0.486618004866	0.338900992495	0.266713196071	0.418898138819	0.304188440839
2016	61	107	163	77	44	0.416770398237	0.56045571481	0.4240142659	0.402618253674	0.405028667613	0.342732512852
2017	68	164	202	84	28	0.500366568914	0.614383809179	0.644932950568	0.496998326936	0.439353522673	0.217729393468
