	2009 (N=3 119)	 2013 (N=2 231)	2017 (N=1 665)
Lebensmittel	69.8	74.5	77.7
Spielzeug	64.9	70.4	75.7
Haushaltswaren	63.3	69.8	73.3
Kleidung Kinder	61.7	67.2	72.1
Wohnung	64.2	68.1	71.4
Kleidung Erwachsene	52.0	58.7	65.3
Krankenkasse	57.5	59.5	59.6
Freizeit Kinder	46.3	51.9	56.7
Freizeit Erwachsene	40.2	45.2	50.1
Kulturveranstaltungen	39.1	45.0	49.2
Fremdbetreuung	34.3	37.4	42.8
Ferien	31.8	35.9	40.1
Nachhilfeunterricht	29.7	32.8	37.3
Private Vorsorge	28.7	29.9	34.4
Haushaltshilfe		28.6	33.7
Sparen	18.5	23.0	25.5
