	2017	95% Konfidenzintervall Untergrenze	95% Konfidenzintervall Obergrenze	2022	95% Konfidenzintervall Untergrenze	95% Konfidenzintervall Obergrenze
Total	36.3	34.1	38.5	41.1	39.0	43.2
Männer	29.3	26.2	32.4	36.5	33.4	39.6
Frauen	42.8	39.8	45.8	45.5	42.7	48.3
15-34 Jahre	39.7	35.2	44.2	53.9	49.1	58.8
35-49 Jahre	40.1	35.5	44.7	42.2	37.9	46.5
50-64 Jahre	34.5	30.4	38.6	35.5	31.8	39.2
>64 Jahre	29.9	25.9	33.9	32.7	29.5	36.0
Obligat. Schule	47.0	41.6	52.4	46.0	38.8	53.3
Sekundarstufe II	36.9	33.8	39.9	39.4	36.2	42.7
Tertiärstufe	30.6	26.8	34.5	38.7	35.5	41.9
o. Migrationsh.	33.0	30.4	35.6	37.1	34.6	39.7
m. Migrationsh.	41.8	38.0	45.6	47.7	44.2	51.2

