	Weniger als 1 000 Fr.	1 000 bis 1 499 Fr.	1 500 bis 1 999 Fr.	2 000 bis 2 499 Fr.	2 500 bis 2 999 Fr.	Mehr als 3 000 Fr.	Keine Angabe
*Haushaltsform							
Einpersonen-HH (n=402)	23.6	41.3	14.7	5.0	1.5	1.7	12.2
Mehrpersonen-HH (n=517)	11.6	28.2	20.1	12.6	7.4	5.4	14.7
*Geschlecht							
Männlich (n=413)	17.9	30.0	19.1	10.2	5.6	4.8	12.3
Weiblich (n=526)	16.2	36.9	16.5	8.6	4.0	3.0	14.8
*Alter							
55-64 Jahre (n=333)	17.7	32.1	19.5	9.6	3.9	3.9	13.2
65-74 Jahre (n=290)	16.6	35.2	17.2	10.3	6.9	4.5	9.3
>74 Jahre (n=313)	16.9	35.5	16.3	7.7	3.5	2.6	17.6
*Staatsangehörigkeit							
Schweiz (n=841)	16.6	33.4	17.6	9.4	4.8	3.9	14.3
Ausland (n=101)	20.8	38.6	16.8	6.9	4.0	3.0	9.9
*Haushaltseinkommen							
<5 000 Fr. (n=361)	28.3	44.3	11.1	1.9	0.6	0.0	13.9
5 000-7 499 Fr. (n=224)	10.7	42.9	25.0	7.6	2.2	0.4	11.2
>7 499 Fr. (n=229)	9.2	14.4	21.0	22.3	13.1	11.8	8.3
*Wahlkreis							
Grossbasel Ost (n=254)	13.0	27.6	18.5	11.8	9.1	5.5	14.6
Grossbasel West (n=312)	18.3	39.4	15.7	8.0	2.2	2.2	14.1
Kleinbasel (n=233)	25.3	39.1	13.7	5.6	3.0	3.0	10.3
Riehen, Bettingen (n=122)	4.9	27.9	28.7	13.1	5.7	5.7	13.9
*Befragungsjahr							
2011 (N=1 182)	20.7	36.4	18.9	6.4	3.4	2.6	11.6
2015 (N=947)	21.3	35.1	18.7	6.5	3.6	2.4	12.4
2019 (N=950)	16.9	34.0	17.5	9.2	4.6	3.8	14.0

