""	"Keine oder obligatorische Schule"	"Berufsvorbereitende Schule"	"DMS, FMS, o.ä."	"Berufslehre"	"Matura"	"Höhere Fachschule"	"Universität"
"Männer"	13141.141495	2434.9054410	1552.7658948	19946.791254	7181.0304708	8494.0103298	25734.755115
"Frauen"	16134.807864	3420.7162764	3273.6526380	20036.319978	7969.1600054	8739.5299103	24887.213328
"Schweizer"	14089.699565	3882.1052191	3240.4590195	31881.392873	10771.858167	13552.732719	27196.552437
"Ausländer"	15186.249794	1973.5164983	1585.9595133	8101.7183586	4378.3323096	3680.8075212	23425.416005
"18-29 J."	3747.1624734	1607.5658579	926.89149913	5779.6494824	5805.3241234	1284.5340926	8044.4994667
"30-39 J."	3069.0585522	752.62013309	794.87256493	5507.7652868	2136.5983182	3070.6324849	16625.787141
"40-49 J."	4121.2611712	595.07900929	542.19631147	5096.4870868	1820.0372567	2887.7601959	10666.423230
"50-59 J."	4627.5352262	528.81969104	721.20376797	6947.7168798	2088.1861351	4204.9400845	7665.5069473
"60 J. u.m."	10096.424498	1848.7632630	1747.2097109	16585.204051	3246.7026143	5785.6733823	7619.7516585
"Total"	29275.949359	5855.6217174	4826.4185328	39983.111232	15150.190476	17233.540240	50621.968443

