""	"<25 Jahre"	"25-29 Jahre"	"30-34 Jahre"	"35-39 Jahre"	"40-44 Jahre"	"45-49 Jahre"	"50-54 Jahre"	">54 Jahre"
"2016-1"	1729	3432	4058	4532	4701	5676	5470	5702
"2016-2"	1722	3524	4083	4543	4757	5651	5563	5914
"2016-3"	1682	3514	4056	4646	4726	5678	5546	6093
"2016-4"	1655	3452	4069	4609	4705	5556	5526	6171
"2017-1"	1573	3345	3965	4577	4618	5447	5529	6281
"2017-2"	1583	3326	4029	4564	4702	5434	5636	6474
"2017-3"	1626	3393	4086	4609	4707	5362	5660	6533
"2017-4"	1648	3355	4041	4557	4668	5240	5636	6516
"2018-1"	1562	3213	3959	4472	4631	5143	5572	6449
"2018-2"	1634	3253	3970	4477	4673	5100	5626	6502
"2018-3"	1585	3185	3954	4471	4681	5031	5592	6510
"2018-4"	1510	3069	3886	4369	4597	4872	5513	6483
"2019-1"	1489	3023	3892	4350	4570	4828	5435	6496
"2019-2"	1563	3005	3917	4377	4616	4800	5489	6656
"2019-3"	1588	2994	3954	4440	4598	4819	5448	6815
"2019-4"	1621	2929	3921	4457	4530	4788	5407	6894
"2020-1"	1613	2885	3900	4413	4540	4760	5365	6938
"2020-2"	1622	2862	3878	4372	4552	4764	5316	7107
"2020-3"	1606	2895	3942	4358	4608	4755	5306	7214
"2020-4"	1615	2818	3908	4287	4583	4651	5214	7247
"2021-1"	1564	2796	3890	4230	4525	4602	5112	7234
"2021-2"	1583	2830	3928	4288	4596	4574	5106	7434
"2021-3"	1559	2840	3971	4276	4628	4555	5167	7558
"2021-4"	1682	2848	3983	4269	4644	4570	5120	7642
"2022-1"	1701	2818	3957	4294	4652	4500	5048	7691
"2022-2"	1754	2906	4005	4348	4696	4515	5002	7807
"2022-3"	1891	2949	4010	4410	4763	4541	4945	7857
"2022-4"	1934	3015	3988	4380	4756	4529	4919	7883
"2023-1"	1944	2983	3989	4422	4765	4506	4823	7818
"2023-2"	2019	3041	4037	4488	4794	4543	4849	7887
"2023-3"	2040	3067	4049	4478	4797	4574	4799	7880
"2023-4"	2051	3020	3953	4428	4766	4527	4688	7838
"2024-1"	2194	3123	3968	4487	4741	4505	4622	7700
"2024-2"	2186	3153	3957	4478	4744	4512	4593	7826
"2024-3"	2210	3213	4005	4512	4772	4547	4603	7884
"2024-4"	2224	3266	3985	4514	4773	4545	4574	7989
"2025-1"	2171	3227	3947	4469	4749	4587	4529	8055
"2025-2"	2150	3257	3923	4467	4750	4609	4521	8128
"2025-3"	2324	3392	4055	4573	4864	4694	4577	8209

