"Datum"	"Gemeldete Todesfälle 0 - 64 Jahre"	"Untere Grenze Erwartungsbereich 0 - 64 Jahre"	"Obere Grenze Erwartungsbereich 0 - 64 Jahre"	"Gemeldete Todesfälle 65+ Jahre"	"Untere Grenze Erwartungsbereich 65+ Jahre"	"Obere Grenze Erwartungsbereich 65+ Jahre"	"JahrKW"
2001-01-01	10	0.2	13.8	40	26.2	60.0	2001-01
2001-01-08	11	0.2	13.8	27	26.4	60.3	2001-02
2001-01-15	9	0.2	13.8	56	26.5	60.5	2001-03
2001-01-22	7	0.2	13.8	39	26.6	60.7	2001-04
2001-01-29	6	0.2	13.8	49	26.7	60.8	2001-05
2001-02-05	7	0.2	13.8	32	26.8	60.9	2001-06
2001-02-12	7	0.2	13.8	37	26.8	61.0	2001-07
2001-02-19	4	0.2	13.8	43	26.4	60.4	2001-08
2001-02-26	6	0.2	13.8	29	26.0	59.8	2001-09
2001-03-05	7	0.2	13.7	35	25.6	59.1	2001-10
2001-03-12	10	0.2	13.7	33	25.1	58.4	2001-11
2001-03-19	6	0.2	13.7	34	24.7	57.7	2001-12
2001-03-26	6	0.2	13.7	23	24.2	57.0	2001-13
2001-04-02	6	0.1	13.7	50	23.7	56.3	2001-14
2001-04-09	5	0.1	13.7	38	23.2	55.6	2001-15
2001-04-16	10	0.1	13.7	50	22.7	54.8	2001-16
2001-04-23	6	0.1	13.7	35	22.2	54.1	2001-17
2001-04-30	4	0.1	13.7	39	21.8	53.3	2001-18
2001-05-07	4	0.1	13.7	39	21.4	52.8	2001-19
2001-05-14	12	0.1	13.7	38	21.1	52.4	2001-20
2001-05-21	6	0.1	13.7	33	20.9	52.1	2001-21
2001-05-28	4	0.1	13.7	41	20.9	52.0	2001-22
2001-06-04	5	0.1	13.7	34	20.8	51.9	2001-23
2001-06-11	8	0.1	13.6	30	20.8	51.9	2001-24
2001-06-18	4	0.1	13.6	33	20.9	52.1	2001-25
2001-06-25	4	0.1	13.6	40	21.0	52.2	2001-26
2001-07-02	5	0.1	13.6	44	21.2	52.5	2001-27
2001-07-09	10	0.1	13.6	40	21.3	52.7	2001-28
2001-07-16	4	0.1	13.7	39	21.5	52.9	2001-29
2001-07-23	6	0.1	13.7	32	21.3	52.7	2001-30
2001-07-30	8	0.1	13.7	40	21.2	52.5	2001-31
2001-08-06	8	0.2	13.7	26	21.1	52.2	2001-32
2001-08-13	1	0.2	13.7	28	20.9	52.0	2001-33
2001-08-20	8	0.2	13.8	38	20.8	51.8	2001-34
2001-08-27	5	0.2	13.8	37	20.6	51.6	2001-35
2001-09-03	6	0.2	13.8	31	20.5	51.4	2001-36
2001-09-10	4	0.2	13.8	32	20.5	51.4	2001-37
2001-09-17	5	0.2	13.8	45	20.8	51.9	2001-38
2001-09-24	5	0.2	13.9	39	21.2	52.4	2001-39
2001-10-01	4	0.2	13.9	50	21.7	53.2	2001-40
2001-10-08	10	0.2	13.9	37	22.1	53.8	2001-41
2001-10-15	1	0.2	13.9	45	22.5	54.4	2001-42
2001-10-22	10	0.2	13.9	35	22.9	55.1	2001-43
2001-10-29	5	0.2	14.0	31	23.3	55.7	2001-44
2001-11-05	7	0.2	14.0	39	23.7	56.2	2001-45
2001-11-12	10	0.3	14.0	48	24.0	56.8	2001-46
2001-11-19	10	0.3	14.0	38	24.4	57.3	2001-47
2001-11-26	6	0.3	14.1	50	25.0	58.2	2001-48
2001-12-03	1	0.3	14.1	38	25.6	59.1	2001-49
2001-12-10	5	0.3	14.1	33	26.2	60.0	2001-50
2001-12-17	6	0.3	14.1	32	26.8	60.9	2001-51
2001-12-24	6	0.3	14.2	58	27.4	61.9	2001-52
2001-12-31	7	0.0	13.2	47	26.2	60.0	2002-01
2002-01-07	9	0.0	13.2	53	25.9	59.6	2002-02
2002-01-14	4	0.0	13.1	49	25.7	59.3	2002-03
2002-01-21	8	0.0	13.1	60	25.5	58.9	2002-04
2002-01-28	7	0.0	13.1	55	25.2	58.6	2002-05
2002-02-04	7	0.0	13.1	52	25.0	58.2	2002-06
2002-02-11	5	0.0	13.0	42	24.7	57.8	2002-07
2002-02-18	6	0.0	13.0	43	24.5	57.4	2002-08
2002-02-25	5	0.0	13.0	39	24.2	57.0	2002-09
2002-03-04	7	0.0	13.0	34	24.0	56.7	2002-10
2002-03-11	4	0.0	13.0	42	23.7	56.3	2002-11
2002-03-18	8	0.0	12.9	35	23.4	55.8	2002-12
2002-03-25	5	0.0	12.9	48	23.1	55.3	2002-13
2002-04-01	9	0.0	12.9	44	22.8	54.9	2002-14
2002-04-08	6	0.0	12.9	43	22.5	54.4	2002-15
2002-04-15	6	0.0	12.9	39	22.2	53.9	2002-16
2002-04-22	5	0.0	12.8	42	21.8	53.5	2002-17
2002-04-29	5	0.0	12.8	50	21.5	53.0	2002-18
2002-05-06	8	0.0	12.8	45	21.3	52.6	2002-19
2002-05-13	4	0.0	12.8	40	21.1	52.3	2002-20
2002-05-20	5	0.0	12.8	31	20.8	51.9	2002-21
2002-05-27	3	0.0	12.8	36	20.7	51.7	2002-22
2002-06-03	3	0.0	12.8	36	20.5	51.4	2002-23
2002-06-10	15	0.0	12.8	39	20.4	51.2	2002-24
2002-06-17	2	0.0	12.7	47	20.3	51.1	2002-25
2002-06-24	7	0.0	12.7	37	20.2	51.0	2002-26
2002-07-01	6	0.0	12.7	27	20.1	50.8	2002-27
2002-07-08	5	0.0	12.8	40	20.1	50.8	2002-28
2002-07-15	4	0.0	12.8	30	20.1	50.8	2002-29
2002-07-22	6	0.0	12.8	39	20.1	50.8	2002-30
2002-07-29	6	0.0	12.8	37	20.1	50.8	2002-31
2002-08-05	9	0.0	12.9	29	20.2	50.9	2002-32
2002-08-12	4	0.0	12.9	41	20.2	51.0	2002-33
2002-08-19	8	0.0	12.9	36	20.3	51.1	2002-34
2002-08-26	5	0.0	12.9	37	20.4	51.3	2002-35
2002-09-02	9	0.0	13.0	23	20.6	51.5	2002-36
2002-09-09	10	0.0	13.0	38	20.7	51.6	2002-37
2002-09-16	2	0.0	13.0	32	20.8	51.9	2002-38
2002-09-23	2	0.0	13.1	36	21.0	52.1	2002-39
2002-09-30	9	0.0	13.1	47	21.1	52.4	2002-40
2002-10-07	7	0.0	13.1	45	21.5	52.9	2002-41
2002-10-14	7	0.0	13.1	35	21.8	53.4	2002-42
2002-10-21	11	0.0	13.2	39	22.1	53.9	2002-43
2002-10-28	7	0.0	13.2	39	22.5	54.4	2002-44
2002-11-04	5	0.0	13.2	46	22.8	55.0	2002-45
2002-11-11	8	0.0	13.3	35	23.2	55.5	2002-46
2002-11-18	4	0.0	13.3	36	23.6	56.1	2002-47
2002-11-25	8	0.0	13.3	32	24.0	56.7	2002-48
2002-12-02	6	0.0	13.3	35	24.3	57.3	2002-49
2002-12-09	5	0.0	13.4	51	24.7	57.8	2002-50
2002-12-16	4	0.0	13.4	48	25.1	58.4	2002-51
2002-12-23	10	0.1	13.4	50	25.5	59.0	2002-52
2002-12-30	8	0.0	12.9	47	28.1	62.9	2003-01
2003-01-06	8	0.0	12.8	38	27.8	62.3	2003-02
2003-01-13	6	0.0	12.8	41	27.4	61.8	2003-03
2003-01-20	9	0.0	12.7	40	27.0	61.2	2003-04
2003-01-27	10	0.0	12.7	41	26.6	60.6	2003-05
2003-02-03	7	0.0	12.6	34	26.2	60.1	2003-06
2003-02-10	3	0.0	12.5	42	25.9	59.5	2003-07
2003-02-17	6	0.0	12.5	41	25.5	59.0	2003-08
2003-02-24	5	0.0	12.4	36	25.1	58.4	2003-09
2003-03-03	11	0.0	12.4	50	24.7	57.8	2003-10
2003-03-10	19	0.0	12.3	40	24.3	57.3	2003-11
2003-03-17	9	0.0	12.3	43	24.0	56.7	2003-12
2003-03-24	9	0.0	12.2	50	23.6	56.1	2003-13
2003-03-31	8	0.0	12.2	24	23.2	55.5	2003-14
2003-04-07	4	0.0	12.2	45	22.8	55.0	2003-15
2003-04-14	5	0.0	12.2	42	22.5	54.5	2003-16
2003-04-21	5	0.0	12.1	35	22.2	54.0	2003-17
2003-04-28	8	0.0	12.1	41	21.8	53.4	2003-18
2003-05-05	10	0.0	12.1	32	21.6	53.1	2003-19
2003-05-12	3	0.0	12.1	30	21.4	52.7	2003-20
2003-05-19	8	0.0	12.1	36	21.2	52.4	2003-21
2003-05-26	3	0.0	12.1	23	21.0	52.2	2003-22
2003-06-02	9	0.0	12.1	46	20.9	52.0	2003-23
2003-06-09	7	0.0	12.1	40	20.7	51.8	2003-24
2003-06-16	12	0.0	12.2	43	20.7	51.6	2003-25
2003-06-23	4	0.0	12.2	41	20.6	51.5	2003-26
2003-06-30	7	0.0	12.2	29	20.5	51.4	2003-27
2003-07-07	8	0.0	12.3	40	20.5	51.4	2003-28
2003-07-14	5	0.0	12.3	41	20.5	51.4	2003-29
2003-07-21	3	0.0	12.4	42	20.5	51.4	2003-30
2003-07-28	10	0.0	12.4	44	20.5	51.4	2003-31
2003-08-04	9	0.0	12.5	53	20.6	51.6	2003-32
2003-08-11	7	0.0	12.5	71	20.7	51.8	2003-33
2003-08-18	9	0.0	12.6	42	20.8	51.9	2003-34
2003-08-25	8	0.0	12.6	31	21.0	52.1	2003-35
2003-09-01	7	0.0	12.6	35	21.1	52.3	2003-36
2003-09-08	7	0.0	12.6	36	21.3	52.5	2003-37
2003-09-15	5	0.0	12.6	39	21.4	52.8	2003-38
2003-09-22	9	0.0	12.6	26	21.6	53.1	2003-39
2003-09-29	6	0.0	12.6	41	21.8	53.4	2003-40
2003-10-06	6	0.0	12.6	41	22.1	53.9	2003-41
2003-10-13	7	0.0	12.6	35	22.4	54.3	2003-42
2003-10-20	8	0.0	12.6	43	22.7	54.8	2003-43
2003-10-27	7	0.0	12.6	34	23.0	55.2	2003-44
2003-11-03	5	0.0	12.7	35	23.3	55.7	2003-45
2003-11-10	7	0.0	12.7	36	23.6	56.2	2003-46
2003-11-17	11	0.0	12.7	34	23.9	56.6	2003-47
2003-11-24	4	0.0	12.7	39	24.3	57.1	2003-48
2003-12-01	3	0.0	12.7	29	24.6	57.6	2003-49
2003-12-08	7	0.0	12.7	30	24.9	58.1	2003-50
