Jahr	Saldo Geburten-Todesfälle	Saldo Zuzüge-Wegzüge	Bereinigungen	Gesamtveränderung
1971	-129	-3711		-3840
1972	3	-2416		-2413
1973	-416	-2207		-2623
1974	-373	-3133		-3506
1975	-511	-2992		-3503
1976	-800	-3530		-4330
1977	-772	-2786		-3558
1978	-858	-1556		-2414
1979	-824	-1129		-1953
1980	-805	-741		-1546
1981	-954	-573		-1527
1982	-700	-487		-1187
1983	-998	283		-715
1984	-815	-1		-816
1985	-820	435		-385
1986	-904	-1451		-2355
1987	-765	-579		-1344
1988	-842	-957		-1799
1989	-891	345		-546
1990	-974	1534		560
1991	-671	2346		1675
1992	-703	1065		362
1993	-568	1298		730
1994	-561	104		-457
1995	-757	-170		-927
1996	-451	-862		-1313
1997	-726	-1510		-2236
1998	-722	-1410		-2132
1999	-712	-1268		-1980
2000	-716	-844		-1560
2001	-755	-367		-1122
2002	-830	1386		556
2003	-774	972		198
2004	-520	784		264
2005	-513	-44		-557
2006	-520	392		-128
2007	-351	559		208
2008	-478	2034		1556
2009	-407	1666		1259
2010	-279	263		-16
2011	-163	1668		1505
2012	-229	1738	-354	1155
2013	-120	1899	221	2000
2014	-177	793	396	1012
2015	-126	712	147	733
2016	152	902	-52	1002
2017	-62	578	266	782
2018	-28	688	608	1268
2019	-25	1214	-1038	151
2020	-165	956	773	1564
2021	6	-1000	828	-166
