JahrBezirk	Evangelisch-reformiert	Römisch-katholisch	Christkatholisch	Israelitisch	Nicht öffentlich-rechtlich	Keine Zugehörigkeit/K. A.
2014: Messe	379	560	23	1	1773	1993
2014: Erlenmatt	31	60	1		214	302
.						
2015: Messe	374	542	29	3	1742	2020
2015: Erlenmatt	84	148	6		417	808
..						
2016: Messe	339	540	23	5	1792	2103
2016: Erlenmatt	101	170	6		502	971
...						
2017: Messe	310	524	21	4	1820	2047
2017: Erlenmatt	111	169	8		588	1001
....						
2018: Messe	295	483	20	4	1752	2176
2018: Erlenmatt	124	176	5	2	679	1124
