"Jahr"	"Schweiz"	"Deutschland"	"Italien"	"Türkei"	"EU-17 + EFTA"	"EU-Ost"	"Balkan"	"Mittel- und Südamerika"	"Arabische Länder"	"Afrikanische Länder"	"Übrige Länder"
"2000"	24.8	26.4	25.3	31.0	26.6	48.8	21.0	37.9	56.1	48.5	30.8
"2001"	23.6	22.4	25.3	31.6	26.3	49.3	19.2	35.8	53.1	47.7	29.3
"2002"	22.1	23.4	24.5	31.1	24.7	50.5	19.2	33.4	47.7	37.3	26.7
"2003"	23.1	23.5	24.2	33.7	24.2	46.8	20.7	22.9	45.3	41.5	24.4
"2004"	22.8	20.9	24.3	29.6	24.1	38.9	20.5	28.3	42.1	42.2	29.3
"2005"	22.8	20.3	23.9	31.0	24.0	41.2	20.5	34.7	44.6	35.4	28.9
"2006"	21.7	20.5	23.3	31.5	22.7	35.6	18.1	35.2	42.2	41.6	30.4
"2007"	21.5	19.2	22.7	30.9	25.5	36.4	19.4	36.7	32.3	41.2	28.3
"2008"	20.6	20.8	22.1	30.8	27.6	35.4	18.7	31.4	32.7	46.2	30.1
"2009"	20.6	20.4	22.1	27.7	28.1	36.8	18.5	31.7	34.4	45.8	32.3
"2010"	21.4	22.0	22.1	28.0	28.0	37.4	17.6	29.0	34.0	43.5	26.8
"2011"	21.4	18.9	20.8	27.7	27.4	39.6	16.8	29.6	38.4	43.4	28.0
"2012"	20.9	22.5	19.2	26.5	26.3	35.5	16.5	25.7	38.3	42.8	27.4
"2013"	20.2	24.5	19.6	29.1	24.8	35.3	18.3	23.6	38.8	40.6	28.7
"2014"	19.7	19.8	18.2	28.1	23.5	36.4	18.3	26.8	38.0	41.7	24.4
"2015"	19.3	18.9	20.2	27.3	21.9	32.5	17.8	31.6	37.1	44.9	23.2
"2016"	19.2	20.4	17.9	26.4	22.3	28.7	19.1	29.5	32.8	41.0	22.5
"2017"	18.4	16.7	18.3	24.6	22.5	30.1	19.9	30.6	38.7	41.6	22.9
"2018"	16.7	16.1	18.0	24.9	22.6	30.7	20.0	25.3	42.2	39.7	22.2
"2019"	15.9	15.7	18.1	24.3	20.1	29.0	20.0	25.3	39.7	38.2	19.3

