Jahr	Jahresmittelwerte Stickstoffdioxid	Jahresmittelwerte Feinstaub	Grenzwert Stickstoffdioxid	Grenzwert Feinstaub
1991.0	52.8		30.0	20.0
1992.0	49.9		30.0	20.0
1993.0	47.2		30.0	20.0
1994.0	42.7		30.0	20.0
1995.0	40.2		30.0	20.0
1996.0	43.1		30.0	20.0
1997.0	41.2	28.6	30.0	20.0
1998.0	36.0	24.3	30.0	20.0
1999.0	36.0	20.7	30.0	20.0
2000.0	33.8	20.8	30.0	20.0
2001.0	33.0	20.1	30.0	20.0
2002.0	32.7	21.8	30.0	20.0
2003.0	34.8	24.7	30.0	20.0
2004.0	33.3	19.0	30.0	20.0
2005.0	32.7	21.2	30.0	20.0
2006.0	33.8	23.7	30.0	20.0
2007.0	31.5	22.5	30.0	20.0
2008.0	32.4	20.7	30.0	20.0
2009.0	32.7	22.0	30.0	20.0
2010.0	32.4	21.4	30.0	20.0
2011.0	33.2	22.3	30.0	20.0
2012.0	31.8	19.1	30.0	20.0
2013.0	31.0	19.1	30.0	20.0
2014.0	31.9	16.9	30.0	20.0
2015.0	31.5	18.3	30.0	20.0
2016.0	27.8	16.1	30.0	20.0
