	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
*Familienform						
Einelternfamilie (n=272)	23.2	46.7	4.0	0.7	21.0	4.4
Zweielternfamilie (n=1 372)	24.6	44.6	3.2	0.2	23.8	3.6
*Anzahl Kinder						
1 Kind (n=562)	25.1	42.7	3.6	0.0	24.7	3.9
2 Kinder (n=750)	25.1	46.1	2.4	0.1	21.9	4.4
3 Kinder u.m. (n=353)	21.0	46.2	5.4	1.1	23.8	2.5
*Alter jüngstes Kind						
0-4 Jahre (n=610)	26.9	46.1	2.8	0.3	20.8	3.1
5-8 Jahre (n=364)	25.3	44.2	3.6	0.3	24.7	1.9
9-12 Jahre (n=277)	18.8	48.0	2.9	0.0	25.6	4.7
13-17 Jahre (n=389)	22.9	42.4	4.9	0.5	24.2	5.1
*Bildungsniveau Eltern						
Obligat. Schule (n=105)	26.7	36.2	1.9	1.9	20.0	13.3
Sekundarstufe II (n=553)	20.4	45.9	5.2	0.0	24.1	4.3
Tertiärstufe (n=983)	25.9	45.8	2.6	0.3	23.0	2.3
*Haushaltssprache						
ch/dt (n=870)	26.1	49.3	2.4	0.0	20.2	2.0
ch/dt und andere (n=516)	23.3	43.6	5.2	0.4	22.7	4.8
nur andere (n=246)	20.3	34.1	3.7	1.2	32.9	7.7
*Haushaltseinkommen						
<3 000 Fr. (n=111)	30.6	35.1	3.6	0.0	21.6	9.0
3 000-7 499 Fr. (n=580)	22.1	46.7	4.7	0.5	22.1	4.0
>7 499 Fr. (n=855)	24.3	46.0	2.7	0.1	24.2	2.7
*Wahlkreis						
Grossbasel Ost (n=415)	25.1	44.6	2.9	0.2	23.9	3.4
Grossbasel West (n=585)	27.4	43.9	2.6	0.2	21.5	4.4
Kleinbasel (n=376)	23.9	46.3	3.5	0.8	21.3	4.3
Riehen, Bettingen (n=253)	17.0	47.0	5.9	0.0	28.9	1.2
*Befragungsjahr						
2009 (N=3 119)	16.2	40.1	3.6	0.7	31.7	7.8
2013 (N=2 231)	18.8	44.0	3.4	1.0	27.9	4.9
2017 (N=1 665)	24.2	45.0	3.4	0.3	23.2	3.8
