"Branche"	"2019"	"2020"	"2021"
"Industrie (exkl. Chemie, Pharma)"	0.046	0.031	0.034
"Chemie, Pharma"	0.077	0.061	0.052
"Baugewerbe"	0.012	0.013	0.021
"Handel, Reparatur"	0.030	0.021	0.020
"Verkehr, Lagerei, Kommunikation"	0.018	0.014	0.013
"Gastgewerbe"	0.015	0.011	0.013
"Finanz-, Versicherungs-DL"	0.007	0.006	0.004
"Beratung, Planung, Forschung, Immobilien, IT, Personalvermittlung, andere DL"	0.088	0.070	0.056
"Öffentliche Verwaltung, Sozialversicherungen"	0.003	0.005	0.005
"Erziehung, Unterricht"	0.022	0.020	0.020
"Gesundheits-, Sozialwesen"	0.011	0.011	0.011
"Kultur, Unterhaltung, pers. DL"	0.026	0.022	0.023
"Total"	0.040	0.032	0.028

