Wohnviertel,Anteil Ausländer 2015,Rang
Bachletten,0.2138485362,1
Hirzbrunnen,0.2202354509,2
Bruderholz,0.2311086597,3
Riehen,0.2454837319,4
Bettingen,0.2516611296,5
Altstadt Grossbasel,0.2526315789,6
Gotthelf,0.2762753983,7
Wettstein,0.3090779383,8
St. Alban,0.3103859199,9
Breite,0.3244801085,10
Am Ring,0.33959782,11
Altstadt Kleinbasel,0.3585215606,12
Iselin,0.3673457088,13
Vorstädte,0.3684103812,14
Gundeldingen,0.3957582185,15
St. Johann,0.4343434343,16
Kleinhüningen,0.4637931034,17
Clara,0.4638868206,18
Matthäus,0.5114395251,19
Klybeck,0.5177860184,20
Rosental,0.5493277175,21
