	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
*Geschlecht						
Männlich (n=881)	41.4	42.8	9.4	1.4	0.2	4.8
Weiblich (n=1 132)	53.9	33.7	7.2	1.2	0.6	3.4
*Haushaltseinkommen						
<3 000 Fr. (n=235)	47.7	32.3	8.9	3.4	0.9	6.8
3 000-7 499 Fr. (n=836)	47.7	39.6	6.9	1.3	0.5	3.9
>7 499 Fr. (n=679)	48.6	38.3	10	0.9	0.3	1.9
*Wahlkreis						
Grossbasel Ost (n=557)	45.4	39	10.1	1.3	0.5	3.8
Grossbasel West (n=730)	50.3	40.3	5.3	0.7	0.3	3.2
Kleinbasel (n=448)	37.5	38.8	14.7	2.9	0.4	5.6
Riehen, Bettingen (n=271)	63.5	28.4	2.6	0.4	0.7	4.4
*Haushaltsform						
Single-HH (n=854)	43.4	40.6	8.2	1.9	0.6	5.3
Übrige HH o. K. (n=808)	50.2	36.4	9.3	0.5	0.5	3.1
HH m. Kindern (n=366)	55.5	33.6	6.3	1.6	0	3
*Alter						
18-29 Jahre (n=154)	42.2	42.9	11.7	0	1.3	1.9
30-39 Jahre (n=320)	40.9	41.6	13.4	1.9	0	2.2
40-49 Jahre (n=301)	47.8	39.9	8.3	2.3	0	1.7
50-59 Jahre (n=359)	42.6	41.2	8.4	1.9	0.8	5
60-69 Jahre (n=354)	48.9	37.9	7.1	0.8	0.8	4.5
>69 Jahre (n=506)	59.1	29.6	4.5	0.6	0.2	5.9
*Staatsangehörigkeit						
Schweiz (n=1 589)	50	36.2	8.1	1.1	0.4	4.3
Ausland (n=438)	41.8	43.4	9.1	1.8	0.7	3.2
*Befragungsjahr						
2003 (N=1 495)	41.2	41.5	13.9	2.7	0.7	0
2005 (N=1 509)	37.4	44.5	14.3	3.1	0.7	0
2007 (N=1 505)	35.6	47.8	14.2	2.1	0.3	0
2011 (N=1 516)	48.9	39.8	9.4	1.5	0.4	0
2015 (N=1 504)	49.7	41.6	7.3	0.9	0.5	0
2019 (N=2 052)	48.1	37.8	8.3	1.3	0.4	4.1
