Wohnviertel ID	Wohnviertel Name	Anteil Familienhaushalte (%)	Differenz 2021 zu 2011 (pp)
1	Altstadt Grossbasel	29.4	-1.83
2	Vorstädte	29.4	1.97
3	Am Ring	34.1	1.15
4	Breite	35.8	-2.42
5	St. Alban	42.9	0.33
6	Gundeldingen	32.2	-2.63
7	Bruderholz	56.5	1.47
8	Bachletten	45.4	0.00
9	Gotthelf	34.4	-1.07
10	Iselin	35.9	-1.75
11	St. Johann	38.4	-1.42
12	Altstadt Kleinbasel	23.2	-1.91
13	Clara	30.7	-3.76
14	Wettstein	34.4	-1.99
15	Hirzbrunnen	51.5	0.27
16	Rosental	39.7	-2.37
17	Matthäus	32.6	-4.86
18	Klybeck	40.0	-3.79
19	Kleinhüningen	47.3	-1.76
20	Riehen	56.5	-1.68
30	Bettingen	62.4	-0.79
