Jahr	Effektiv: Mo-Do	Effektiv: Fr-So	Effektiv: Mo-So	Auf Basis Zimmerzahl 2008: Mo-Do	Auf Basis Zimmerzahl 2008: Fr-So	Auf Basis Zimmerzahl 2008: Mo-So
2008	0.737919385	0.525420574	0.647346731	0.737919385	0.525420574	0.647346731
2009	0.688160977	0.495799875	0.606040831	0.720871824	0.519367085	0.634848202
2010	0.712715736	0.476080367	0.610991777	0.784719284	0.524177349	0.672718457
2011	0.703794982	0.480256528	0.607864899	0.788736571	0.538219079	0.681228609
2012	0.698304205	0.471786578	0.601275881	0.785152356	0.530462713	0.676056612
2013	0.719753993	0.487181156	0.620405741	0.79865809	0.540589112	0.688418639
2014	0.723168077	0.496758848	0.626545043	0.829413211	0.56974079	0.718594685
2015	0.710086965	0.503085352	0.621628807	0.850025728	0.602229746	0.744134882
2016	0.708969466	0.491981573	0.615605161	0.859512681	0.596449383	0.746323315
2017	0.687306341	0.511537324	0.611833344	0.887483375	0.660521871	0.79002897
