""	"Meldepflichtige insgesamt"	"Arbeitnehmende"	"Selbständigerwerbende"	"Entsandte"
"2014-1"	169658	66287	39115	64256
"2014-2"	132207	76491	18127	37589
"2014-3"	133439	110579	5526	17334
"2014-4"	87773	63015	7127	17631
"2015-1"	181546	67543	38632	75371
"2015-2"	109239	62845	15402	30992
"2015-3"	123362	97317	6375	19670
"2015-4"	82674	54277	9299	19098
"2016-1"	179077	66935	39820	72322
"2016-2"	106323	59634	14747	31942
"2016-3"	110742	89073	5409	16260
"2016-4"	81706	58126	7251	16329
"2017-1"	148190	61914	30384	55892
"2017-2"	116191	72034	15580	28577
"2017-3"	124398	97897	5467	21034
"2017-4"	91024	65179	7494	18351
"2018-1"	141010	63978	31034	45998
"2018-2"	107257	70592	15482	21183
"2018-3"	118467	99847	5389	13231
"2018-4"	89456	64496	6444	18516
"2019-1"	103242	58098	17294	27850
"2019-2"	101091	66716	11783	22592
"2019-3"	122786	99560	4761	18465
"2019-4"	97894	71811	8249	17834
"2020-1"	85623	56823	8384	20416
"2020-2"	68388	51415	3842	13131
"2020-3"	86207	71158	2938	12111
"2020-4"	70455	58384	2672	9399
"2021-1"	43332	33003	2018	8311
"2021-2"	63473	48650	3062	11761
"2021-3"	111127	89588	5499	16040
"2021-4"	89863	74569	3779	11515
"2022-1"	70531	57601	2138	10792
"2022-2"	88841	71214	5213	12414
"2022-3"	112836	99244	2607	10985
"2022-4"	93910	77060	5492	11358
"2023-1"	74638	56833	3015	14790
"2023-2"	94348	74568	5491	14289
"2023-3"	113511	101961	2494	9056
"2023-4"	96905	82526	3888	10491

