Jahr	Bauzonen	Bauzonen mit pot. Wohnnutzung	Kantonsfläche	Bauzonen (Index)	Bauzonen mit potenzieller Wohnnutzung (Index)	Bauzonen, Veränderungen zum Vorjahr (in ha)	Bauzonen mit pot. Wohnnutzung , Veränderungen zum Vorjahr (in ha)	Bauzonen, Veränderungen zum Vorjahr (in m2)	Bauzonen mit pot. Wohnnutzung,  Veränderungen zum Vorjahr (in m2)
2005	1445.03	1265.03	3695.71	100	100	0	0	0	0
2006	1445.04	1265.05	3695.71	100	100	0.02	0.02	174.13	175
2007	1445.04	1265.04	3695.71	100	100	0	-0.01	-44	-72
2008	1446.63	1264.98	3695.71	100.11	100	1.59	-0.06	15942.47	-610.85
2009	1446.63	1264.98	3695.71	100.11	100	0	0	0	0
2010	1445.88	1263.58	3695.71	100.06	99.89	-0.76	-1.4	-7565.46	-14007.69
2011	1445.88	1263.58	3695.71	100.06	99.89	0	0	0	0
2012	1445.61	1269.09	3695.71	100.04	100.32	-0.27	5.51	-2672.93	55128.47
2013	1446.24	1269.72	3695.71	100.08	100.37	0.63	0.63	6295.92	6290.07
2014	1447.75	1274.99	3695.71	100.19	100.79	1.51	5.27	15110.8	52708.5
2015	1447.7	1274.94	3695.71	100.19	100.78	-0.05	-0.05	-463.48	-463.22
2016	1447.82	1275.06	3589.53	100.19	100.79	0.12	0.12	1152.68	1154.72
2017	1449.7	1274.09	3589.53	100.32	100.72	1.88	-0.97	18806.49	-9683.7
2018	1449.75	1274.17	3589.53	100.33	100.72	0.05	0.07	490.6	746.53
2019	1446.09	1278.13	3589.53	100.07	101.04	-3.66	3.96	-36553.79	39624.18
2020	1444.47	1277.16	3589.53	99.96	100.96	-1.62	-0.97	-16212.76	-9685.43
2021	1443.83	1276.48	3589.53	99.92	100.91	-0.64	-0.68	-6411.03	-6773.9
2022	1443.57	1276.76	3589.53	99.9	100.93	-0.26	0.27	-2612.38	2732.88
2023	1447.89	1281.18	3589.53	100.2	101.28	4.32	4.43	43228.7	44285.79
