"Jahr"	"Schweizer ohne Migrationshintergrund"	"Schweizer mit Migrationshintergrund"	"Ausländer mit Migrationshintergrund (1. Generation)"	"Ausländer mit Migrationshintergrund (2. Generation)"	"Ausländer ohne Migrationshintergrund (3. Generation)"
"2014"	76573	28708	50542	4317	223
"2015"	78477	26029	51320	4581	141
"2016"	77740	27015	52619	4486	108
"2017"	77479	26437	53018	4695	111
"2018"	74749	28714	53754	4566	78
"2019"	72706	30427	54805	3889	87
"2020"	72054	31119	54825	4005	192
"2021"	73982	29614	55770	3954	74
"2022"	72545	30945	56797	4060	74
"2023"	71265	31598	59366	3958	137

