Jahr	Moderat (<25 °C)	Heiss (25 bis <27°C)	Sehr heiss (ab 27°C)	Unteres Vertrauensintervall (Anzahl)	Oberes Vertrauensintervall (Anzahl)	Total	Attributabler Anteil an Gesamtsterblichkeit in %	Unteres Vertrauensintervall (%)	Oberes Vertrauensintervall (%)	Anzahl attributable Fälle pro 100'000 Einwohner*innen	Unteres Vertrauensintervall (Anzahl pro 100'000 Einwohner*innen)	Oberes Vertrauensintervall (Anzahl pro 100'000 Einwohner*innen)
1980	8.4			4.2	13.3	8.4	0.008	0.004	0.013			
1981	10.8			5.7	17.3	10.8	0.010	0.005	0.016	5.3	2.8	8.5
1982	21.3			14.8	29.2	21.3	0.020	0.014	0.027	10.6	7.3	14.5
1983	28.3	1.3	12.2	34.5	51.8	41.8	0.038	0.031	0.047	21.0	17.3	26.0
1984	7.6	6.1		9.5	18.9	13.7	0.013	0.009	0.018	6.9	4.8	9.6
1985	12.3	5.0		11.8	24.6	17.3	0.017	0.012	0.025	8.8	6.0	12.6
1986	21.8		1.7	17.9	30.2	23.5	0.023	0.018	0.030	12.1	9.2	15.5
1987	19.7			14.4	26.0	19.7	0.020	0.015	0.027	10.2	7.5	13.5
1988	15.2	2.4		12.8	23.2	17.6	0.016	0.012	0.022	9.2	6.7	12.1
1989	24.7	1.0		19.4	33.7	25.7	0.025	0.019	0.032	13.5	10.2	17.7
1990	18.2	3.5		16.5	28.0	21.8	0.021	0.016	0.027	11.4	8.6	14.6
1991	19.8	2.8		16.4	30.2	22.6	0.022	0.016	0.030	11.6	8.4	15.5
1992	18.5	13.9		26.1	39.9	32.5	0.033	0.026	0.040	16.5	13.3	20.3
1993	13.3			8.0	19.9	13.3	0.014	0.009	0.021	6.7	4.1	10.1
1994	29.6	13.7	3.2	38.5	58.3	46.4	0.046	0.038	0.058	23.6	19.5	29.6
1995	16.8	1.6	4.1	16.6	29.2	22.4	0.022	0.016	0.028	11.5	8.5	14.9
1996	7.9			3.3	13.0	7.9	0.009	0.004	0.015	4.0	1.7	6.7
1997	12.9			6.8	20.0	12.9	0.014	0.007	0.021	6.7	3.5	10.3
1998	13.4	6.2	2.4	17.0	28.1	22.0	0.024	0.018	0.030	11.5	8.9	14.8
1999	12.1	1.2		7.1	20.2	13.2	0.015	0.008	0.022	7.0	3.8	10.7
2000	14.6	1.0		10.1	22.0	15.6	0.017	0.011	0.024	8.3	5.4	11.7
2001	16.0	1.3		12.4	23.0	17.3	0.019	0.014	0.026	9.3	6.7	12.3
2002	12.6	3.2		11.5	20.8	15.8	0.018	0.013	0.023	8.4	6.1	11.2
2003	34.8	10.7	34.6	69.9	94.6	80.1	0.080	0.070	0.095	42.9	37.4	50.7
2004	13.6			9.3	19.4	13.6	0.016	0.011	0.023	7.3	5.0	10.4
2005	12.7	4.6		13.4	22.0	17.3	0.022	0.017	0.028	9.3	7.2	11.8
2006	13.1	10.5	2.3	20.8	32.0	26.0	0.029	0.024	0.036	14.0	11.3	17.3
2007	6.6	1.9		5.2	12.1	8.5	0.011	0.007	0.016	4.6	2.8	6.5
2008	9.4	2.0		7.5	16.5	11.5	0.013	0.009	0.019	6.1	4.0	8.8
2009	13.0	1.0		9.9	18.6	13.9	0.018	0.013	0.024	7.4	5.3	9.9
2010	12.1	7.3		15.4	24.0	19.3	0.022	0.018	0.028	10.5	8.3	13.0
2011	7.9	2.7	1.7	8.7	16.4	12.3	0.016	0.011	0.021	6.6	4.7	8.8
2012	8.8	6.1		11.0	19.5	14.9	0.019	0.014	0.025	7.9	5.9	10.4
2013	7.0	6.1	1.1	10.5	19.4	14.2	0.018	0.013	0.025	7.5	5.5	10.2
2014	6.2	2.1		5.1	12.0	8.3	0.010	0.006	0.014	4.4	2.7	6.3
2015	10.5	9.2	15.6	27.8	45.7	35.3	0.040	0.032	0.052	18.4	14.5	23.8
2016	8.5	4.3		7.8	18.6	12.8	0.016	0.010	0.023	6.7	4.1	9.6
2017	9.0	6.9	1.1	11.2	23.8	17.0	0.021	0.014	0.029	8.8	5.8	12.3
2018	8.5	7.0	1.7	11.0	24.6	17.2	0.022	0.014	0.032	8.8	5.7	12.6
2019	4.1	4.2	8.2	12.2	22.5	16.6	0.021	0.015	0.028	8.5	6.2	11.5
2020	4.2	4.2	1.0	4.7	14.6	9.3	0.013	0.006	0.020	4.7	2.4	7.4
2021	1.6	1.4		0.8	5.6	3.1	0.004	0.001	0.008	1.6	0.4	2.8
2022	7.7	4.5	5.8	11.6	26.3	17.9	0.021	0.014	0.031	9.1	5.9	13.4
2023	10.2	5.4	2.3	12.2	24.2	17.9	0.022	0.015	0.030	8.9	6.1	12.1
