"Branche"	"2020"	"2021"	"2022"
"Industrie (exkl. Chemie, Pharma)"	7301	7119	6974
"Chemie, Pharma"	17638	17646	17541
"Baugewerbe"	7134	6679	6654
"Handel, Reparatur"	11362	11351	11548
"Verkehr, Lagerei"	9317	9483	10157
"Gastgewerbe"	5678	6728	8001
"Information, Kommunikation"	4406	4647	5168
"Finanz-, Versicherungs-DL"	9890	10027	10245
"Beratung, Planung, Forschung, Immobilien"	20389	20626	21036
"Gebäudebetreuung, Sicherheit, sonst. wirtsch. DL"	5051	5326	5570
"Personalvermittlung, -überlassung"	6270	6919	6673
"Öffentliche Verwaltung, Sozialversicherungen"	5408	5422	5479
"Erziehung, Unterricht"	8706	9123	9197
"Gesundheits-, Sozialwesen"	23001	23181	24693
"Kultur, Unterhaltung, pers. DL"	7015	7091	7217

