Wohnviertel_Id	Wohnviertel_Name	Leerwohnungsquote	Leerwohnungen	Bewohnte Wohnungen
1	Altstadt Grossbasel	0.2	3	100
2	Vorstädte	0.4	13	200
3	Am Ring	0.3	21	100
4	Breite	0.3	13	200
5	St. Alban	0.7	42	100
6	Gundeldingen	0.5	51	200
7	Bruderholz	0.3	11	100
8	Bachletten	0.2	13	200
9	Gotthelf	0.2	10	100
10	Iselin	0.1	14	200
11	St. Johann	0.2	16	100
12	Altstadt Kleinbasel	0.7	11	200
13	Clara	0.8	19	100
14	Wettstein	0.3	10	200
15	Hirzbrunnen	0.3	12	100
16	Rosental	0.4	12	200
17	Matthäus	0.2	16	100
18	Klybeck	0.2	8	200
19	Kleinhüningen	0.1	1	100
20	Riehen	0.6	57	200
30	Bettingen	1.6	-8	100
