Jahr	Mit Personenschaden	Total	Total	Total	Total	Total	Total
1924		192					
1925		337					
1926	201	376					
1927	229	513					
1928	305	655					
1929	391	831					
1930	471	1013					
1931	467	1107					
1932	510	1125					
1933	507	1111					
1934	543	1077					
1935	495	969					
1936	515	1019					
1937	529	1160					
1938	613	1307					
1939	568	1112					
1940	389	726					
1941	389	566					
1942	393	566					
1943	377	544					
1944	410	596					
1945	431	696					
1946	653	1314					
1947	710	1366					
1948	730	1358					
1949	787	1343					
1950	863	1501					
1951	896	1485					
1952	907	1619					
1953	1064	1776					
1954	1054	1860					
1955	1068	1714					
1956	1116		1710				
1957	1225		1834				
1958	1245		1910				
1959	1312		2041				
1960	1333		2162				
1961	1365		2348				
1962	1436		2445				
1963	1144		2292				
1964	1179		2401				
1965	1202		2412				
1966	1084		2276				
1967	1108		2229				
1968	1066		2112				
1969	1169		2298				
1970	1124		2322				
1971	1223		2527				
1972	1189		2449				
1973	1026		2316				
1974	991		2250				
1975	1002		2139				
1976	988			2055			
1977	967			2075			
1978	1029			2082			
1979	1034			2049			
1980	899				2485		
1981	876				2524		
1982	868				2530		
1983	876				2682		
1984	831				2552		
1985	775				2493		
1986	801				2697		
1987	688				2503		
1988	764				2749		
1989	713				2831		
1990	673				2921		
1991	662				3054		
1992	732					3721	
1993	787					3394	
1994	864					3093	
1995	858					3965	
1996	785					3933	
1997	820					3905	
1998	725					2906	
1999	736					2917	
2000	660					2340	
2001	604					2222	
2002	571					2026	
2003	577					2010	
2004	528					1812	
2005	607					1864	
2006	572					1836	
2007	529					1746	
2008	495					1464	
2009	472					1350	
2010	381					1153	
2011	317					948
2012	256					898
2013	327					1029
2014	374					1106
2015	391					1126
2016	413					1140
2017	366						835
2018	391						777
2019	379						747
2020	315						602
2021	305						577
2022	296						502
2023	332						561
