Jahr	Mittelwert	Median	Mittelwert oberstes Quintil	Mittelwert unterstes Quintil
1991	56648.5	45700.0	133214.8	10363.3
1992	59623.1	48400.0	139274.6	11072.2
1993	60493.3	49000.0	141359.5	11395.6
1994	60044.8	48900.0	139609.1	11184.2
1995	60220.8	48800.0	140864.7	11172.7
1996	59155.1	47700.0	140905.6	9584.0
1997	58517.4	47300.0	139716.8	9165.5
1998	59512.1	47200.0	145144.4	8862.8
1999	59759.0	47200.0	146431.5	8634.9
2000	60053.4	47300.0	148581.8	8004.7
2001	62239.6	49000.0	153128.0	8696.0
2002	62656.4	49500.0	151945.1	9904.7
2003	62273.9	49270.0	151812.9	8957.4
2004	61575.9	48884.0	150495.3	8116.6
2005	62274.3	48536.0	155470.2	7465.4
2006	62984.1	48563.0	158852.3	7545.6
2007	65318.2	49530.0	166811.8	7955.2
2008	64909.8	47442.0	171656.6	7110.5
2009	65107.3	47980.0	171316.7	6975.0
2010	65751.3	48072.0	173953.5	6868.2
2011	64817.9	48350.0	168643.8	6901.0
2012	65189.1	48409.0	170297.3	6799.3
2013	66943.5	48816.0	177712.2	6764.5
2014	68538.5	49044.0	184561.5	6709.1
2015	68247.8	49142.0	183184.6	6536.4
2016	69822.5	49334.5	190403.9	6419.4
2017	69373.4	49558.0	187432.2	6338.7
2018	69761.1	49680.0	188676.8	6341.4
2019	72418.0	49883.0	200735.7	6352.0
2020	73376.1	50174.0	204555.0	6385.8


