	Regelmässig	Hin und wieder	Selten	Nie	Nicht möglich/nicht vorhanden	Keine Angabe
*Haushaltsform						
Einpersonen-HH (n=499)	0.2	2.6	3.8	58.5	12.4	22.4
Mehrpersonen-HH (n=871)	0.2	1.8	4.1	67.5	6.7	19.6
*Geschlecht						
Männlich (n=637)	0.2	2.5	5.2	67	8.3	16.8
Weiblich (n=760)	0.3	2	3.2	62.1	9.3	23.2
*Alter						
55-64 Jahre (n=518)	0.4	2.1	3.5	74.5	8.1	11.4
65-74 Jahre (n=434)	0.2	1.6	5.5	64.3	9.7	18.7
>74 Jahre (n=441)	0	3.2	3.2	52.6	8.2	32.9
*Staatsangehörigkeit						
Schweiz (n=1 280)	0.2	2.3	4.1	63.8	8.4	21.2
Ausland (n=120)	0	2.5	3.3	66.7	13.3	14.2
*Haushaltseinkommen						
<5 000 Fr. (n=428)	0.2	1.9	3.7	56.5	13.6	24.1
5 000-7 499 Fr. (n=325)	0	3.1	5.2	66.8	6.8	18.2
>7 499 Fr. (n=440)	0.2	2	4.5	74.8	4.5	13.9
*Wahlkreis						
Grossbasel Ost (n=357)	0	1.7	4.2	65	7.8	21.3
Grossbasel West (n=474)	0.2	3.4	3.2	64.1	10.1	19
Kleinbasel (n=306)	0.3	2.3	4.2	60.5	10.8	21.9
Riehen, Bettingen (n=240)	0.4	1.3	5	67.5	6.3	19.6
*Befragungsjahr						
2011 (N=1 689)	0.2	1.8	2.4	58.5	0.1	37
2015 (N=1 427)	0.4	2.5	3.8	62.8	9	21.5
2019 (N=1 410)	0.2	2.3	4	63.8	8.9	20.9

