jahr	Wohnungsbestand (ohne Leerwohnungen)	Leerwohnungen	Wohnbevölkerung (rechte Skala)
1960	78361	75	222489
1961	79889	78	225111
1962	82286	12	228195
1963	83087	4	230599
1964	84431	28	231810
1965	85730	98	231764
1966	86838	68	232091
1967	87320	43	231245
1968	88005	42	232617
1969	88798	30	232795
1970	91657	50	236219
1971	92780	46	232379
1972	93901	97	229966
1973	95042	196	227343
1974	95817	451	223837
1975	96380	1101	220334
1976	96736	1268	216004
1977	97213	1076	212446
1978	97889	899	210032
1979	98380	616	208079
1980	98346	447	206533
1981	98873	715	205006
1982	98970	892	203819
1983	99426	860	203104
1984	99964	833	202288
1985	100125	1077	201903
1986	100719	779	199548
1987	101125	713	198204
1988	101288	531	196405
1989	101581	309	195859
1990	101731	175	196419
1991	101740	202	198094
1992	101843	235	198456
1993	102239	248	199186
1994	102458	337	198729
1995	102682	550	197802
1996	102970	804	196489
1997	102495	1249	194253
1998	102293	1578	192121
1999	102381	1602	190141
2000	102732	1360	188581
2001	102558	1466	187459
2002	102880	1383	188015
2003	102928	1420	188213
2004	102897	1502	188477
2005	102790	1586	187920
2006	103157	1471	187792
2007	103274	1468	188000
2008	103449	1294	189556
2009	103829	969	190815
2010	104295	783	190799
2011	104744	522	192304
2012	105264	500	193459
2013	105560	361	195459
2014	107025	245	196471
2015	106909	361	197204
2016	108001	452	198206
2017	108574	546	198988
2018	109177	782	200256
2019	109944	1124	200407
2020	110572	1073	201971
2021	111454	1235	201805
2022	112584	1328	204550
2023	114196	1239	206308
