"Jahr"	"Wegpendler in die Schweiz"	"Wegpendler ins Ausland"	"Zupendler aus der Schweiz"	"Zupendler aus dem Ausland"	"Saldo"
1990	-14688	-281	57294	28767	71092
2000	-17150	-235	54525	29785	66925
2010	-22450	-269	60812	30482	68575
2011	-22097	-580	63306	32087	72716
2012	-22943	-512	62880	33153	72578
2013	-23562	-478	62884	33642	72486
2014	-24679	-508	64706	34591	74110
2015	-24073	-338	64289	34988	74866
2016	-24080	-453	65931	35742	77140
2017	-26396	-573	66252	35661	74944
2018	-24383	-429	58748	34299	68235
2019	-23204	-587	56797	34546	67552
2020	-21057	-901	54038	34321	66401
2021	-20495	-659	51719	34757	65322
2022	-23587	-734	55795	35302	66776

