JahrBezirk	Evangelisch-reformiert	Römisch-katholisch	Christkatholisch	Israelitisch	Andere, ohne oder unbekannte Zugehörigkeit
2021: Pestalozzi	432	430	29	7	2915
2021: Lysbüchel	137	180	9	1	1781
2021: Landskron	546	689	27	6	5500
2021: Kannenfeld	249	224	13	4	1438
2021: Friedmatt	550	521	22	15	3138
.					
2022: Pestalozzi	390	431	29	9	2924
2022: Lysbüchel	166	205	14	1	2016
2022: Landskron	548	685	27	7	5606
2022: Kannenfeld	244	213	13	4	1489
2022: Friedmatt	532	521	27	13	3206
..					
2023: Pestalozzi	360	416	28	9	2958
2023: Lysbüchel	190	207	16	1	2281
2023: Landskron	511	637	37	11	5561
2023: Kannenfeld	226	212	11	3	1454
2023: Friedmatt	515	507	29	11	3288
