	Waren verschiedener Art	Nahrungs-, Genussmitel, Tabak	Informatik und Elektronik	Haushaltsgeräte, Textilien, Möbel	Verlagsprod., Sport- und Spielwaren	Bekleidung, Lederwaren	Apotheken, Körperpflege	Uhren, Schmuck	Antiquitäten, Gebrauchtwaren	Sonstiger Detailhandel
2011	29	58	13	73	79	205	46	44	29	115
2012	28	61	15	70	75	206	43	43	25	109
2013	28	63	16	66	70	214	44	39	26	107
2014	29	65	18	60	64	203	44	37	23	111
2015	29	63	19	61	72	197	45	36	21	105
2016	32	65	20	55	66	188	46	36	21	99
2017	37	61	16	54	68	178	49	41	19	92
2018	38	64	15	51	67	169	50	38	16	92
2019	35	60	16	47	66	166	52	39	18	93
2020	34	55	15	48	58	157	51	41	17	93
2021	36	58	15	52	56	146	47	37	16	88
