Kategorie	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Ganz unzufrieden	Weiss nicht	Keine Angabe
2019: Luftqualität	542	930	359	84	69	74
2023: Luftqualität	475	983	322	79	120	36
.............						
2019: Zusammensetz. Bev.	435	1008	188	49	227	75
2023: Zusammensetz. Bev.	377	981	212	51	268	39
..............						
2019: Lärmsituation	570	831	399	152	13	82
2023: Lärmsituation	512	885	390	162	24	41
...............						
2023: Sportanlagen	447	784	241	45	390	46
................						
2019: Schule, Bildung	505	569	106	24	539	78
2023: Schulen, Bildung	478	622	115	41	534	39
.................						
2023: Barrierefreiheit öffentlicher Raum	346	796	235	25	456	45
..................						
2019: Arbeitsplatzangebot	264	689	255	77	540	88
2023: Arbeitsplätzangebot	291	693	246	68	553	48
...................						
2019: Senioreneinrichtungen	320	634	114	19	797	74
2023: Senioreneinrichtungen	302	653	138	24	750	52
....................						
2019: Wohnungsangebot	339	685	440	145	280	81
2023: Wohnungsangebot	289	626	558	162	243	46
.....................						
2019: Jugendeinrichtungen	227	542	186	34	816	77
2023: Jugendeinrichtungen	204	568	197	40	834	55
......................						
2019: Kinderbetreuung	319	365	140	36	777	76
2023: Kinderbetreuung	273	418	161	43	784	29
.......................						
2019: Behinderteneinrichtungen	257	493	137	28	921	78
2023: Behinderteneinrichtungen	213	501	155	25	960	51
