	Ja	Nein	Keine Angabe
*Familienform			
Einelternfamilie (n=272)	77.9	17.6	4.4
Zweielternfamilie (n=1 372)	70.7	25.7	3.6
*Anzahl Kinder			
1 Kind (n=562)	72.6	23.3	4.1
2 Kinder (n=750)	70.5	25.6	3.9
3 Kinder u.m. (n=353)	72.5	23.5	4.0
*Alter jüngstes Kind			
0-4 Jahre (n=610)	69.3	26.1	4.6
5-8 Jahre (n=364)	74.7	22.8	2.5
9-12 Jahre (n=277)	69.7	27.1	3.2
13-17 Jahre (n=389)	74.0	22.1	3.9
*Bildungsniveau Eltern			
Obligat. Schule (n=105)	66.7	18.1	15.2
Sekundarstufe II (n=553)	75.4	20.3	4.3
Tertiärstufe (n=983)	70.0	27.6	2.4
*Haushaltssprache			
ch/dt (n=870)	71.3	26.3	2.4
ch/dt und andere (n=516)	73.6	22.3	4.1
nur andere (n=246)	68.3	22.0	9.8
*Haushaltseinkommen			
<3 000 Fr. (n=111)	77.5	11.7	10.8
3 000-7 499 Fr. (n=580)	73.6	21.0	5.3
>7 499 Fr. (n=855)	69.8	28.7	1.5
*Wahlkreis			
Grossbasel Ost (n=415)	71.6	24.8	3.6
Grossbasel West (n=585)	71.8	24.6	3.6
Kleinbasel (n=376)	72.1	22.9	5.1
Riehen, Bettingen (n=253)	71.9	25.3	2.8
*Befragungsjahr			
2009 (N=3 119)	71.7	21.2	7.1
2013 (N=2 231)	72.7	22.3	5.0
2017 (N=1 665)	71.7	24.4	4.0
