Jahr	Geöffnete Betriebe	Verfügbare Betten (rechte Skala)
1939	42	2 137
1940	41	2 018
1941	41	1 974
1942	40	1 806
1943	40	1 993
1944	40	1 992
1945	38	2 052
1946	38	2 048
1947	37	2 029
1948	39	2 091
1949	38	2 062
1950	39	2 102
1951	39	2 101
1952	39	2 081
1953	37	2 029
1954	36	2 038
1955	36	2 060
1956	36	2 063
1957	38	2 144
1958	41	2 477
1959	43	2 592
1960	45	2 702
1961	46	2 809
1962	46	2 854
1963	45	2 764
1964	46	2 801
1965	45	2 817
1966	46	2 867
1967	47	2 953
1968	48	3 069
1969	49	3 182
1970	51	3 292
1971	50	3 244
1972	50	3 395
1973	50	3 350
1974	50	3 361
1975	49	3 854
1976	48	4 096
1977	47	4 101
1978	48	4 055
1979	48	4 090
1980	49	4 123
1981	49	4 202
1982	48	4 129
1983	48	4 095
1984	48	4 219
1985	48	4 518
1986	46	4 311
1987	44	4 188
1988	42	4 122
1989	41	3 973
1990	39	3 836
1991	39	3 824
1992	38	3 826
1993	37	3 793
1994	37	3 664
1995	38	3 697
1996	39	3 769
1997	40	3 798
1998	41	3 847
1999	41	3 858
2000	42	3 946
2001	41	3 778
2002	44	4 063
2003	48	4 420
2004	55	4 666
2005	53	4 482
2006	55	4 712
2007	55	5 026
2008	63	5 344
2009	65	5 737
2010	67	6 229
2011	66	6 414
2012	66	6 478
2013	64	6 410
2014	64	6 766
2015	62	7 286
2016	64	7 543
2017	65	8 692
2018	65	8 939
2019	63	9 175
2020	66	8 011
2021	66	8 476
2022	65	9 280
2023	64	9 397
