""	"Keine oder obligatorische Schule"	"Berufsvorbereitende Schule"	"DMS, FMS, o.ä."	"Berufslehre"	"Matura"	"Höhere Fachschule"	"Universität"
"Männer"	12906.234614	2872.1636849	1754.5436032	21270.888403	7022.1421376	8116.4709535	23620.956604
"Frauen"	16876.219904	4833.4147468	3483.6781680	20648.043538	7914.3300480	8121.1050103	22298.208584
"Schweizer"	14705.296228	4956.4023131	3995.9756419	34139.921136	10844.573492	12554.072184	24574.959004
"Ausländer"	15077.158291	2749.1761185	1242.2461293	7779.0108050	4091.8986933	3683.5037798	21344.206184
"18-29 J."	3412.8860181	2257.9670949	918.98451832	5934.1712530	5899.7564718	1415.3725202	7604.3749356
"30-39 J."	3317.5633333	955.29064971	762.29331537	5110.5268898	2312.5707484	3326.4323990	15150.773090
"40-49 J."	4164.2255564	840.11919937	585.55768622	6026.2673088	1664.0564406	3061.1599280	9474.9208506
"50-59 J."	4587.3192803	736.63775944	711.49605633	7494.4672249	1868.8491148	3756.4081009	7051.8488737
"60 J. u.m."	10894.642111	2311.6267603	2198.0728981	17280.450083	3126.4436602	4678.2030158	6637.2474377
"Total"	29782.454518	7705.5784317	5238.2217712	41918.931941	14936.472186	16237.575964	45919.165188

