Jahr	Privathaushalte in Mio. m³	Industrie, Bau und Gewerbe in Mio. m³	Übrige in Mio. m³	Maximal mögliche Jahresproduktion in Mio. m³	Total in Mio. m³
1989	19.500423	7.870515	1.202794	50.4576	28.573732
1990	20.367453	7.543833	1.091237	50.4576	29.002523
1991	18.872436	7.094968	0.895843	50.4576	26.863247
1992	19.667138	7.060914	0.972629	50.4576	27.700681
1993	18.59158	6.746895	0.883447	50.4576	26.221922
1994	17.535565	6.239268	1.256054	50.4576	25.030887
1995	17.66707	6.060919	1.272098	50.4576	25.000087
1996	17.192804	5.880122	0.985216	50.4576	24.058142
1997	16.167722	5.938844	1.185457	50.4576	23.292023
1998	16.614708	5.872404	1.178335	50.4576	23.665447
1999	15.915604	5.642734	1.167989	50.4576	22.726327
2000	15.66704	5.205656	1.174562	50.4576	22.047258
2001	15.145188	5.046457	1.057298	50.4576	21.248943
2002	14.301814	5.585775	0.859643	50.4576	20.747232
2003	16.484705	5.170396	0.974	50.4576	22.629101
2004	15.919	4.62	1.316	50.4576	21.855
2005	16.836	4.02	0.762	50.4576	21.618
2006	15.537543	4.121475	0.905916	50.4576	20.564934
2007	15.327577	4.003015	0.721398	50.4576	20.05199
2008	15.487773	4.483351	0.786301	50.4576	20.757425
2009	15.206038	4.937693	0.85179	50.4576	20.995521
2010	15.055016	5.491792	0.571679	50.4576	21.118487
2011	15.81879341	5.083003503	0.583209	50.4576	21.485006
2012	15.989100452	5.11991691	0.544695	50.4576	21.653712
2013	15.170387834	4.931362436	0.465615335	50.4576	20.567366
2014	15.308599261	4.603303183	0.467425254	50.4576	20.379328
2015	14.947835961	4.982539729	0.52642426	50.4576	20.4568
2016	15.638196946	4.537244434	0.513287371	50.4576	20.688729
