	Weniger als 1 000 Fr.	1 000 bis 1 499 Fr.	1 500 bis 1 999 Fr.	2 000 bis 2 499 Fr.	2 500 bis 2 999 Fr.	Mehr als 3 000 Fr.	Keine Angabe
*Haushaltsform							
Einpersonen-HH (n=415)	32.8	37.8	11.1	3.4	1.9	1.0	12.0
Mehrpersonen-HH (n=532)	12.4	32.9	24.6	9.0	4.9	3.6	12.6
*Geschlecht							
Männlich (n=389)	20.1	33.7	19.5	7.2	3.9	3.1	12.6
Weiblich (n=554)	22.0	35.9	18.2	6.1	3.4	2.0	12.3
*Alter							
55-64 Jahre (n=307)	18.6	33.9	20.2	7.8	4.9	2.9	11.7
65-74 Jahre (n=308)	19.5	35.7	19.5	6.5	4.9	2.6	11.4
>74 Jahre (n=324)	25.9	35.8	16.7	5.6	1.2	1.9	13.0
*Staatsangehörigkeit							
Schweiz (n=857)	20.8	35.1	19.0	6.9	3.6	2.5	12.1
Ausland (n=81)	27.2	34.6	16.0	3.7	3.7	2.5	12.3
*Haushaltseinkommen							
<5 000 Fr. (n=379)	33.0	40.9	12.9	1.8	0.0	0.0	11.3
5 000-7 499 Fr. (n=239)	18.4	41.8	21.8	5.0	3.3	1.3	8.4
>7 499 Fr. (n=201)	6.5	21.4	29.4	16.9	9.0	8.5	8.5
*Wahlkreis							
Grossbasel Ost (n=275)	17.1	32.7	19.6	8.7	6.5	4.4	10.9
Grossbasel West (n=298)	23.8	40.9	16.8	4.4	0.7	1.3	12.1
Kleinbasel (n=213)	28.2	36.2	16.4	3.3	1.9	0.9	13.1
Riehen, Bettingen (n=126)	14.3	27.0	27.8	12.7	4.8	4.0	9.5
*Befragungsjahr							
2011 (N=1 182)	20.7	36.4	18.9	6.4	3.4	2.6	11.6
2015 (N=947)	21.3	35.1	18.7	6.5	3.6	2.4	12.4

