"WOV_NAME"	"Anteil mit tertiärem Bildungsabschluss"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"Jahr"
"Altstadt Grossbasel"	0.685144	0.6320	0.7383	"2019-2023"
"Vorstädte"	0.625917	0.5870	0.6648	"2019-2023"
"Am Ring"	0.6245813	0.5985	0.6506	"2019-2023"
"Altstadt Kleinbasel"	0.5717109	0.5138	0.6296	"2019-2023"
"Wettstein"	0.5562604	0.5204	0.5921	"2019-2023"
"Bachletten"	0.5419641	0.5193	0.5646	"2019-2023"
"St. Alban"	0.5390348	0.5140	0.5641	"2019-2023"
"Bruderholz"	0.5341862	0.5064	0.5620	"2019-2023"
"Gotthelf"	0.5131051	0.4811	0.5451	"2019-2023"
"Gundeldingen"	0.4831104	0.4632	0.5030	"2019-2023"
"Matthäus"	0.4755983	0.4523	0.4989	"2019-2023"
"St. Johann"	0.4545638	0.4340	0.4751	"2019-2023"
"Riehen/Bettingen"	0.4480511	0.4312	0.4649	"2019-2023"
"Clara"	0.4134091	0.3717	0.4551	"2019-2023"
"Rosental"	0.409466	0.3771	0.4418	"2019-2023"
"Iselin"	0.3998283	0.3790	0.4207	"2019-2023"
"Breite"	0.3771289	0.3495	0.4047	"2019-2023"
"Hirzbrunnen"	0.3622216	0.3359	0.3886	"2019-2023"
"Klybeck"	0.255634	0.2257	0.2855	"2019-2023"
"Kleinhüningen"	0.1935068	0.1507	0.2363	"2019-2023"

