Jahr	Siedlungsabfälle (Hauskehricht und Sperrgut)	Wertstoffsammlungen	Recyclingquote (rechte Skala)	
2000	   193.6	   139.7	   40.6
2001	   190.2	   137.1	   40.6
2002	   192.3	   134.3	   39.5
2003	   183.7	   133.3	   40.4
2004	   184.1	   137.1	   40.8
2005	   180.2	   143.4	   42.2
2006	   178.8	   145.2	   42.4
2007	   177.2	   146.0	   42.6
2008	   171.7	   156.0	   45.2
2009	   186.1	   150.2	   42.0
2010	   176.8	   149.2	   42.9
2011	   164.8	   145.5	   43.9
2012	   168.5	   153.2	   44.7
2013	   163.5	   144.4	   44.0
2014	   165.5	   143.5	   43.5
2015	   168.5	   140.5	   44.0
2016	   161.5	   137.5	   44.9
2017	   158.5	   131.5	   42.3
2018	   163.2	   124.4	   40.1
2019	   155.9	   126.3	   41.1
2020	   158.9	   126.1	   41.1
2021	   158.2	   125.4	   40.9
