	Regelmässig	Hin und wieder	Selten	Nie	Nicht möglich/nicht vorhanden	Keine Angabe
*Haushaltsform						
Einpersonen-HH (n=499)	3.2	15.8	17	36.3	7.4	20.2
Mehrpersonen-HH (n=871)	3.3	19.1	17.8	37.7	5.5	16.6
*Geschlecht						
Männlich (n=637)	2.7	15.9	19.9	41.3	5.8	14.4
Weiblich (n=760)	3.8	19.5	15.5	34.3	6.8	20
*Alter						
55-64 Jahre (n=518)	3.7	20.1	21.6	38.8	5.2	10.6
65-74 Jahre (n=434)	3	18.4	18.2	38	6.2	16.1
>74 Jahre (n=441)	2.9	14.7	12	35.6	7.3	27.4
*Staatsangehörigkeit						
Schweiz (n=1 280)	3	18.2	17.6	37.3	5.5	18.4
Ausland (n=120)	5.8	12.5	16.7	39.2	15.8	10
*Haushaltseinkommen						
<5 000 Fr. (n=428)	3.3	15.7	12.9	36.7	8.9	22.7
5 000-7 499 Fr. (n=325)	4	20.6	19.7	36	4.9	14.8
>7 499 Fr. (n=440)	3.6	20.2	23.4	37.7	3.2	11.8
*Wahlkreis						
Grossbasel Ost (n=357)	2.5	17.9	15.1	42.3	5.9	16.2
Grossbasel West (n=474)	4	17.5	19.8	34.6	6.3	17.7
Kleinbasel (n=306)	2.3	13.4	16.3	39.9	8.2	19.9
Riehen, Bettingen (n=240)	3.8	24.2	17.5	32.1	5	17.5
*Befragungsjahr						
2011 (N=1 689)	2.1	13	13.6	38.9	0.1	32.3
2015 (N=1 427)	3.5	17.8	17.0	35.8	7.0	18.9
2019 (N=1 410)	3.3	17.7	17.4	37.2	6.4	18.0

