"Jahr"	"Schweiz"	"Deutschland"	"Italien"	"Türkei"	"EU-West + EFTA + UK"	"EU-Ost"	"Balkan"	"Mittel- und Südamerika"	"Arabische Länder"	"Afrikanische Länder"	"Übrige Länder"
"2004"	29.0	25.9	20.6	37.1	23.6	34.2	33.0	33.2	50.4	36.7	28.6
"2005"	28.3	28.3	20.3	35.7	24.0	32.9	32.6	36.0	50.2	34.7	28.3
"2006"	26.5	28.2	20.2	34.8	22.5	28.0	32.0	31.1	47.3	39.1	30.1
"2007"	25.0	27.8	21.1	35.0	22.0	28.5	29.8	30.5	47.4	38.4	27.6
"2008"	23.5	24.9	22.6	35.7	23.0	28.5	30.1	35.8	45.5	36.5	25.9
"2009"	23.0	24.9	20.0	36.4	22.5	29.8	31.5	32.6	47.0	33.3	24.1
"2010"	22.9	23.6	19.7	35.2	22.6	26.1	31.1	34.7	45.2	33.8	24.7
"2011"	22.8	23.7	17.9	35.7	21.6	25.6	30.1	30.2	43.8	35.9	25.1
"2012"	23.1	22.4	18.2	36.7	22.7	22.5	28.3	29.9	44.0	38.1	25.0
"2013"	22.9	23.3	18.6	38.0	22.5	21.0	28.3	31.8	43.2	36.7	27.5
"2014"	21.7	22.0	18.0	39.1	21.9	20.5	28.6	31.8	43.0	38.9	27.9
"2015"	22.0	22.8	17.8	41.1	22.3	20.4	28.5	32.7	42.0	38.9	28.2
"2016"	21.6	22.7	18.2	40.3	22.0	21.2	29.5	29.8	44.3	36.9	28.3
"2017"	22.6	24.2	17.6	40.8	22.6	23.4	31.1	31.8	40.4	38.0	28.2
"2018"	22.2	23.7	17.8	40.8	20.4	23.9	32.5	34.1	38.1	38.6	26.2
"2019"	22.5	24.8	18.5	42.4	20.9	24.4	30.9	31.1	37.6	42.3	26.1
"2020"	22.8	23.5	19.4	40.9	19.7	22.8	31.0	30.6	39.3	42.1	27.6
"2021"	22.6	24.2	16.6	41.3	18.2	26.9	32.4	32.4	45.9	39.8	26.6
"2022"	22.3	22.4	16.5	41.2	19.4	25.1	32.7	30.1	42.8	38.5	23.4
"2023"	21.6	21.2	16.6	41.3	17.5	23.5	32.9	30.7	41.9	38.5	23.7

