	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
*Haushaltsform						
Einpersonen-HH (n=506)	18.6	39.9	9.5	4.3	20.4	7.3
Mehrpersonen-HH (n=921)	17.5	42.7	12.3	2.6	20.2	4.8
*Geschlecht						
Männlich (n=627)	15.2	45.3	12.6	3.5	19.9	3.5
Weiblich (n=793)	20.1	39	10	3	20.6	7.4
*Alter						
55-64 Jahre (n=477)	15.5	39.2	11.5	3.4	25.8	4.6
65-74 Jahre (n=475)	18.7	44.6	9.1	2.1	20.2	5.3
>74 Jahre (n=463)	19.7	41	13.2	4.3	14.7	7.1
*Staatsangehörigkeit						
Schweiz (n=1 309)	18.3	42.2	11.3	3	19.4	5.7
Ausland (n=107)	12.1	37.4	12.1	5.6	28	4.7
*Haushaltseinkommen						
<5 000 Fr. (n=447)	18.3	42.3	11.6	5.1	15	7.6
5 000-7 499 Fr. (n=327)	17.4	41.6	15.6	2.4	17.7	5.2
>7 499 Fr. (n=449)	18.7	42.1	9.1	2	24.7	3.3
*Wahlkreis						
Grossbasel Ost (n=404)	21.3	38.1	10.9	2.5	22	5.2
Grossbasel West (n=438)	15.3	39.5	12.3	4.3	22.4	6.2
Kleinbasel (n=288)	16	45.5	9.7	3.1	20.1	5.6
Riehen, Bettingen (n=252)	19	48.8	11.1	2.8	13.5	4.8
*Befragungsjahr						
2011 (N=1 689)	16.8	39.3	12	2.1	21.4	8.3
2015 (N=1 427)	17.9	41.7	11.3	3.2	20.3	5.7

