	Regelmässig	Hin und wieder	Selten	Nie	Nicht möglich/nicht vorhanden	Keine Angabe
*Haushaltsform						
Einpersonen-HH (n=506)	0.6	2.2	3.8	55.7	11.5	26.3
Mehrpersonen-HH (n=921)	0.3	2.6	3.8	66.7	7.7	18.9
*Geschlecht						
Männlich (n=627)	0.3	3.5	5.7	67.1	7.5	15.8
Weiblich (n=793)	0.5	1.6	2.3	59.5	10.3	25.7
*Alter						
55-64 Jahre (n=477)	0	1.5	5.2	72.3	7.5	13.4
65-74 Jahre (n=475)	0.6	3.6	3.6	69.5	7.4	15.4
>74 Jahre (n=463)	0.6	2.4	2.4	46	12.3	36.3
*Staatsangehörigkeit						
Schweiz (n=1 309)	0.5	2.5	3.7	63.1	8.6	21.7
Ausland (n=107)	0	1.9	5.6	58.9	15	18.7
*Haushaltseinkommen						
<5 000 Fr. (n=447)	0.7	3.1	3.6	56.6	11.2	24.8
5 000-7 499 Fr. (n=327)	0	1.2	3.7	67.3	7	20.8
>7 499 Fr. (n=449)	0.2	2.9	4	71	6.5	15.4
*Wahlkreis						
Grossbasel Ost (n=404)	0.7	2.5	3.2	64.6	9.7	19.3
Grossbasel West (n=438)	0	1.8	3.9	64.4	9.4	20.5
Kleinbasel (n=288)	0.3	2.1	2.8	62.2	10.1	22.6
Riehen, Bettingen (n=252)	0	3.6	5.6	61.1	5.6	24.2
*Befragungsjahr						
2011 (N=1 689)	0.2	1.8	2.4	58.5	0.1	37
2015 (N=1 427)	0.4	2.5	3.8	62.8	9	21.5

