"Branche"	"2023"	"2024"	"2025"
"Industrie (exkl. Chemie, Pharma)"	0.034	0.035	0.032
"Chemie, Pharma"	0.066	0.051	0.058
"Baugewerbe"	0.035	0.021	0.012
"Handel, Reparatur"	0.026	0.024	0.022
"Verkehr, Lagerei, Kommunikation"	0.029	0.013	0.011
"Gastgewerbe"	0.019	0.020	0.021
"Finanz-, Versicherungs-DL"	0.006	0.004	0.004
"Beratung, Planung, Forschung, Immobilien, IT, sonstige DL"	0.093	0.087	0.089
"Öffentliche Verwaltung, Sozialversicherungen"	0.007	0.006	0.008
"Erziehung, Unterricht"	0.022	0.019	0.018
"Gesundheits-, Sozialwesen"	0.013	0.011	0.011
"Kultur, Unterhaltung, pers. DL"	0.034	0.035	0.031
"Total"	0.041	0.036	0.036

