Jahr	Zufuhr	Abfuhr	Gesamtumschlag
1911	27.654	8.08	35.73
1912	47.149	24.051	71.204
1913	62.376	34.277	96.653
1914	61.527	28.492	90.019
1915	0	0	0
1916	0	0	0
1917	24.544	8.559	33.103
1918	16.799	6.66	23.459
1919	37.367	1.653	39.02
1920	13.314	2.408	15.722
1921	0.733	0.336	1.069
1922	126.35	44.743	171.093
1923	25.591	14.165	39.756
1924	213.375	73.219	286.594
1925	60.112	29.546	89.658
1926	236.957	36.273	273.23
1927	654.965	84.875	739.84
1928	426.346	45.443	471.789
1929	562.161	55.406	617.567
1930	1005.464	94.423	1099.887
1931	1193.347	85.843	1279.19
1932	1335.809	72.87	1408.679
1933	1624.004	70.627	1694.631
1934	1809.476	88.427	1897.903
1935	2149.045	67.952	2216.997
1936	2179.917	111.289	2291.206
1937	2741.24	219.025	2960.265
1938	2499.035	205.483	2704.518
1939	1961.805	154.127	2115.932
1940	0	0	0
1941	468.722	17.055	485.777
1942	992.547	112.93	1105.477
1943	1001.056	90.403	1091.459
1944	569.167	101.262	670.429
1945	2.504	0	2.504
1946	1033.863	33.945	1067.808
1947	1809.635	87.596	1897.231
1948	2617.862	161.404	2779.266
1949	2134.778	117.242	2252.02
1950	3247.125	253.292	3500.417
1951	4240.096	352.317	4592.413
1952	3942.629	296.096	4238.725
1953	3653.743	269.328	3923.071
1954	4125.625	370.597	4496.222
1955	4130.974	456.446	4587.42
1956	4868.023	417.198	5285.221
1957	5028.539	367.821	5396.36
1958	4573.47	294.543	4868.013
1959	4549.237	349.114	4898.351
1960	6459.584	502.166	6961.75
1961	6493.466	324.027	6817.493
1962	6787.583	293.995	7081.578
1963	7960.212	320.635	8280.847
1964	7132.65	397.32	7529.97
1965	7954.214	661.036	8615.25
1966	8012.274	394.882	8407.156
1967	7569.644	342.376	7912.02
1968	7488.8	319.813	7808.613
1969	7707.255	309.353	8016.608
1970	8620.322	304.504	8924.826
1971	7925.51	276.754	8202.264
1972	7651.161	274.425	7925.586
1973	8203.931	244.112	8448.043
1974	9053.56	286.632	9340.192
1975	7859.531	329.73	8189.261
1976	7979.728	312.21	8291.938
1977	8635.818	372.683	9008.501
1978	8169.667	516.682	8686.349
1979	8280.286	301.382	8581.668
1980	8762.212	257.295	9019.507
1981	8277.359	258.757	8536.116
1982	7117.111	254.081	7371.192
1983	7629.997	532.834	8162.831
1984	8219.167	552.118	8771.285
1985	7600.568	500.642	8101.21
1986	8631.997	355.342	8987.339
1987	7897.136	310.796	8207.932
1988	8091.448	361.344	8452.792
1989	8578.161	267.001	8845.162
1990	8893.224	301.314	9194.538
1991	7750.616	602.785	8353.401
1992	7938.845	592.065	8530.91
1993	7457.431	825.951	8283.382
1994	7412.738	794.036	8206.774
1995	7303.918	721.176	8025.094
1996	6283.396	876.887	7160.283
1997	7002.443	837.486	7839.929
1998	7420.316	688.431	8108.747
1999	6701.589	746.261	7447.85
2000	7651.8	893.933	8545.733
2001	7795.965	838.183	8634.148
2002	7401.938	852.695	8254.633
2003	6296.299	874.489	7170.788
2004	6220.892	1024.737	7245.629
2005	6340.871	919.991	7260.862
2006	5922.334	827.393	6749.727
2007	6008.469	1099.761	7108.23
2008	6070.357	1141.905	7212.262
2009	5566.661	877.027	6443.688
2010	5541.484	976.792	6518.276
2011	4713.752	964.236	5677.988
2012	6199.795	1010.753	7210.548
2013	5732.601	1097.083	6829.684
2014	4877.512	1104.578	5982.09
2015	5294.584	1039.254	6333.838
2016	4862.818	1033.685	5896.503
2017	4729.131	1061.023	5790.154
2018	3768.445	929.536	4697.981
2019	5054.059	1011.175	6065.234
2020	4280.200228	846.580154	5126.780382
2021	4484.631073	922.635175	5407.266248
2022	3725.565414	874.955698	4600.521112
2023	4163.016878	811.256919	4974.273797
2024	4429.452142	959.951230	5389.403372
