"Jahr"	"Stark verkehrsexponiert"	"Stadt Basel"	"Agglomeration"	"Ländlich"	"Grenzwert"	"Category"
1991		52.78	37.3	26.8	30	0
1992	65.94	49.89	32.2	22	30	1
1993	59	47.23	31.7	25.1	30	2
1994	51.89	42.72	26.12	18.5	30	3
1995	51.31	40.23	28.28	18.57	30	4
1996	50.31	43.13	30.03	19.68	30	5
1997	50.85	41.19	29.05	19.19	30	6
1998	49.58	36.02	26.04	17.94	30	7
1999	51.59	36.04	25.49	18.62	30	8
2000	51.38	33.79	22.9	15.02	30	9
2001	51.06	32.99	21.96	15.3	30	10
2002	50.93	32.67	22.3	13.74	30	11
2003	57.1	34.8	24.04	15.96	30	12
2004	51.2	33.33	21.87	13.9	30	13
2005	54.14	32.65	21.08	13.13	30	14
2006	56.05	33.84	21.6	13.25	30	15
2007	52.7	31.48	19.07	12.45	30	16
2008	53.42	32.37	20.34	13.2	30	17
2009	53.22	32.73	19.88	13	30	18
2010	54.67	32.44	20.93	13.88	30	19
2011	51.22	33.23	19.64	11.92	30	20
2012	50.37	31.81	18.62	11.02	30	21
2013	49.76	30.98	19.17	12.28	30	22
2014	48.44	31.88	18.31	7.82	30	23
2015	49.06	31.47	18.28	10.85	30	24
2016	44.54	27.82	16.74		30	25
2017	44.14	27.71	16.62		30	26
2018	44.69	26.92	16.04		30	27
2019	43.89	25.82	14.71		30	28
2020	36.29	21.32	13.02		30	29
2021	35.49	21.9	13.3		30	30
2022	35.3	21.6	12.83		30	31
2023	31.9	18.93	10.8		30	32
2024	28.86	17.4	10.83		30	33
