""	"Verkehr, Lagerei"	"Elektronik/Optik"	"Metallprodukte"	"Baugewerbe"	"Gastgewerbe"	"Handel, Reparatur"	"Freib., wiss., tech. DL"	"Öff. Verwaltung, Bildung"	"Finanz-, Versicherungs-DL"	"Gesundheits-, Sozialwesen"	"Maschinen"	"Chemische Industrie"	"Pharma"
"2014"	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
"2015"	87.88	88.05	102.99	100.36	97.60	109.14	96.61	100.85	99.91	100.04	108.33	99.01	126.75
"2016"	84.65	77.11	105.26	101.08	93.82	111.53	96.18	100.72	102.72	105.87	117.54	96.02	155.69
"2017"	83.82	59.92	108.27	99.91	95.17	109.92	95.33	101.73	106.36	109.90	119.44	97.92	179.25
"2018"	87.35	69.38	99.13	103.04	99.47	107.31	101.36	103.93	109.43	110.36	115.53	113.58	191.54
"2019"	93.41	73.93	91.10	98.87	106.47	106.76	102.43	104.25	112.48	116.18	107.14	122.67	202.26
"2020"	70.02	63.36	81.29	110.78	51.27	105.86	100.31	107.29	117.70	115.56	110.97	115.62	209.37
"2021"	61.71	85.74	96.44	110.82	51.49	99.80	97.68	108.74	119.95	121.96	129.60	195.66	276.46
"2022"	64.85	89.32	103.02	99.90	91.67	96.82	104.46	109.56	124.27	126.61	130.60	211.92	281.65
"2023"	67.59	88.20	90.29	92.67	100.67	100.68	106.36	110.74	124.13	130.59	132.65	210.18	288.71

