Jahr	 Schweiz	 Deutschland	 Italien	 Türkei	 EU-West + EFTA + UK	 EU-Ost	 Balkan	 Mittel- u. Südamerika	 Arab. Länder	 Afrikan. Länder	 Übrige Länder
2003	17.2	9.4	5.8	1.7	5.8	8.3	0.7	1.1	0	1	5
2004	18.2	8.4	6.3	2.5	5.2	8.2	0.4	0.9	0	1	4
2005	18.7	6.9	5.8	2.2	4.5	7.5	0.4	0.9	0	0	6.3
2006	18.9	5.7	6.6	2.5	6	5.3	0.6	1.7	0	0	5.2
2007	19.3	5.5	5.6	2.8	5.5	5.3	0.7	0.8	1.8	0	4.7
2008	20	5.2	5.6	2.7	6.4	4.7	1.2	2.4	1.3	0	6.5
2009	20.8	6.5	6.3	2	7.2	3.5	1.2	3.1	1.3	2.2	7.6
2010	20.9	7.9	7.3	2.2	6.5	7.0	1.2	4.8	1.4	2.2	7
2011	22.2	8.6	6.1	2.3	5.8	5.4	1.4	4.9	1.5	1	3.1
2012	22.5	10.6	4.9	2.3	5.8	6.5	2.0	3.4	0	1	4
2013	23.6	10.4	5.1	2.8	6	5.1	2.6	3.1	0	0	2.7
2014	23.6	11.3	5.9	4	5.4	5.0	3.3	2.1	2.9	0	5.2
2015	24.3	12.1	7.5	4	6.1	6.9	4.5	2	1.2	2	6.6
2016	25.1	12.0	7.7	5.2	8.1	7.1	4.1	3.0	1.1	1.9	8.1
2017	24.9	12.2	8.0	6.3	7.9	6.0	5.0	5.5	1.1	1.7	8.2
2018	24.7	12.0	8.3	7.1	7.7	3.6	5.5	5.9	0.0	1.4	5.4
2019	25.1	11.9	9.5	5.4	6.2	5.8	4.7	7.1	0.0	0.7	7.0
2020	25.9	12.1	7.6	5.1	7.4	5.8	4.7	4.9	0.0	1.6	8.5
2021	26.2	12.8	9.0	4.8	7.1	5.2	6.4	5.3	0.0	4.7	10.3
2022	25.2	11.2	9.9	7.5	7.9	7.0	7.0	2.3	2.1	4.5	9.5
