Kategorie	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
Sauberkeit	841	757	287	91	7	39
Öffentliche Sicherheit	549	972	310	106	35	38
Luftqualität	475	983	322	79	120	36
Abfallbeseitigung	1059	690	163	53	14	35
Einkaufsmögl. am Wohnort	1137	695	121	31	7	28
Grünanlagen, Parks	889	828	191	45	15	32
Gesundheitsversorgung	913	815	122	27	86	43
Verkehrssicherheit	498	1021	313	90	36	44
ÖV-Angebot	1391	470	73	29	16	29
Lärmsituation	512	885	390	162	24	41
Einkaufsmögl. im Kanton	1042	734	137	15	36	28
Gebäude, Strassenbild	475	995	275	65	125	44
Kulturangebot	743	824	165	15	191	47
Wohnungsangebot	289	626	558	162	243	46
Angebot für Jugendliche	204	568	197	40	834	55
Behinderteneinrichtungen	213	501	155	25	960	51
Senioreneinrichtungen	302	653	138	24	750	52
Barrierefreiheit	346	796	235	25	456	45
Quartierleben	481	954	241	30	233	37
Arbeitsplatzangebot	291	693	246	68	553	48
Schulen, Bildung	478	622	115	41	534	39
Sportanlagen	447	784	241	45	390	46
Zusammensetz. Bev.	377	981	212	51	268	39
Kinderbetreuung	273	418	161	43	784	29
