	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
*Haushaltsform						
Einpersonen-HH (n=506)	41.3	45.5	6.5	2.2	1.6	3
Mehrpersonen-HH (n=921)	45.6	42.7	6.9	0.9	0.9	3
*Geschlecht						
Männlich (n=627)	39.6	48.2	7.7	1	1.3	2.4
Weiblich (n=793)	47.7	40.1	6.1	1.6	1	3.5
*Alter						
55-64 Jahre (n=477)	46.8	40.9	7.1	1.3	1.7	2.3
65-74 Jahre (n=475)	43.8	47.6	3.6	1.5	0.4	3.2
>74 Jahre (n=463)	42.1	42.5	9.5	1.3	1.1	3.5
*Staatsangehörigkeit						
Schweiz (n=1 309)	44.8	43.2	6.6	1.1	1.1	3.2
Ausland (n=107)	36.4	47.7	9.3	3.7	1.9	0.9
*Haushaltseinkommen						
<5 000 Fr. (n=447)	39.6	45.6	6.7	2.2	1.6	4.3
5 000-7 499 Fr. (n=327)	46.5	43.1	7	0.9	0.6	1.8
>7 499 Fr. (n=449)	49.7	39.4	6.9	1.1	0.9	2
*Wahlkreis						
Grossbasel Ost (n=404)	44.8	44.8	4.2	1.5	2	2.7
Grossbasel West (n=438)	44.7	42.5	8.7	0.7	0.5	3
Kleinbasel (n=288)	43.8	43.1	7.3	1	0.7	4.2
Riehen, Bettingen (n=252)	43.7	45.6	6.3	2	0	2.4
*Befragungsjahr						
2011 (N=1 689)	39.9	45.4	7.1	1.1	2.2	4.4
2015 (N=1 427)	44.1	43.7	6.8	1.3	1.1	3

